class,number
hamon WEB_BEST_TOPIC,6.6
macron WEB_BEST_TOPIC,22.1
fillon WEB_BEST_TOPIC,16.1
le pen WEB_BEST_TOPIC,19.0
mélenchon WEB_BEST_TOPIC,28.3
