class,number
hamon WEB_BEST_TOPIC0,6.1
macron WEB_BEST_TOPIC0,24.1
fillon WEB_BEST_TOPIC0,17.1
le pen WEB_BEST_TOPIC0,16.2
mélenchon WEB_BEST_TOPIC0,27.9
