date,hamon chomage,macron chomage,fillon chomage,le pen chomage,mélenchon chomage,query,time
"Apr 14, 2017","0","30.6666666666667","40.8888888888889","0","20.4444444444444","age","7"
"Apr 15, 2017","0","92","0","0","0","age","7"
"Apr 16, 2017","0","36.6440677966102","36.6440677966102","0","18.7118644067797","age","7"
"Apr 17, 2017","0","49.6402877697842","28.4604316546763","0","13.8992805755396","age","7"
"Apr 18, 2017","0","46.3622047244095","19.5590551181102","0","26.0787401574803","age","7"
"Apr 19, 2017","0","59.7402597402597","16.1298701298701","0","16.1298701298701","age","7"
