date,hamon éducation,macron éducation,fillon éducation,le pen éducation,mélenchon éducation,query,time
"Apr 14, 2017","0","0","0","0","0","age","7"
"Apr 15, 2017","0","30.6666666666667","0","0","61.3333333333333","age","7"
"Apr 16, 2017","46","0","46","0","0","age","7"
"Apr 17, 2017","0","30.4067796610169","31.1864406779661","0","30.4067796610169","age","7"
"Apr 18, 2017","0","18.4","18.4","0","55.2","age","7"
"Apr 19, 2017","13.0862068965517","39.6551724137931","13.0862068965517","0","26.1724137931034","age","7"
