date,hamon écologie,macron écologie,fillon écologie,le pen écologie,mélenchon écologie,query,time
"Mar 22, 2017","0","92","0","0","0","age","30"
"Mar 23, 2017","46","0","0","0","46","age","30"
"Mar 24, 2017","0","0","0","0","0","age","30"
"Mar 25, 2017","0","0","0","0","0","age","30"
"Mar 26, 2017","0","92","0","0","0","age","30"
"Mar 27, 2017","0","92","0","0","0","age","30"
"Mar 28, 2017","0","0","0","0","92","age","30"
"Mar 29, 2017","0","0","0","0","92","age","30"
"Mar 30, 2017","0","0","61.3333333333333","0","30.6666666666667","age","30"
"Mar 31, 2017","0","0","0","0","0","age","30"
"Apr 1, 2017","0","0","0","0","0","age","30"
"Apr 2, 2017","0","92","0","0","0","age","30"
"Apr 3, 2017","0","61.3333333333333","0","0","30.6666666666667","age","30"
"Apr 4, 2017","0","0","0","0","92","age","30"
"Apr 5, 2017","0","0","0","0","0","age","30"
"Apr 6, 2017","0","0","92","0","0","age","30"
"Apr 7, 2017","0","92","0","0","0","age","30"
"Apr 8, 2017","0","0","0","0","92","age","30"
"Apr 9, 2017","0","0","46","0","46","age","30"
"Apr 10, 2017","0","45.1929824561403","0","0","46.8070175438597","age","30"
"Apr 11, 2017","30.6666666666667","30.6666666666667","0","0","30.6666666666667","age","30"
"Apr 12, 2017","0","92","0","0","0","age","30"
"Apr 13, 2017","0","0","0","0","0","age","30"
"Apr 14, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","30"
"Apr 15, 2017","0","46","0","0","46","age","30"
"Apr 16, 2017","0","36.6994535519126","18.6010928961749","0","36.6994535519126","age","30"
"Apr 17, 2017","15.2562814070352","46.2311557788945","15.2562814070352","0","15.2562814070352","age","30"
"Apr 18, 2017","0","0","0","0","0","age","30"
"Apr 19, 2017","0","46","0","0","46","age","30"
