date,hamon santé,macron santé,fillon santé,le pen santé,mélenchon santé,query,time
"Mar 22, 2017","0","44.9302325581395","10.6976744186047","25.6744186046512","10.6976744186047","age","30"
"Mar 23, 2017","6.86567164179104","21.9701492537313","6.86567164179104","32.955223880597","23.3432835820896","age","30"
"Mar 24, 2017","2.33898305084746","3.50847457627119","28.8474576271186","55.3559322033898","1.94915254237288","age","30"
"Mar 25, 2017","2.33898305084746","3.50847457627119","38.9830508474576","42.1016949152542","5.06779661016949","age","30"
"Mar 26, 2017","0","24.9166666666667","24.9166666666667","0","42.1666666666667","age","30"
"Mar 27, 2017","20.9090909090909","29.2727272727273","20.9090909090909","0","20.9090909090909","age","30"
"Mar 28, 2017","14.8823529411765","6.76470588235294","17.5882352941176","46","6.76470588235294","age","30"
"Mar 29, 2017","15.9466666666667","19.6266666666667","13.4933333333333","36.8","6.13333333333333","age","30"
"Mar 30, 2017","7.66666666666667","24.2777777777778","11.5","24.2777777777778","24.2777777777778","age","30"
"Mar 31, 2017","0","18.4","34.7555555555556","38.8444444444444","0","age","30"
"Apr 1, 2017","8.90322580645161","19.2903225806452","28.1935483870968","35.6129032258064","0","age","30"
"Apr 2, 2017","9.51724137931035","23.7931034482759","9.51724137931035","33.3103448275862","15.8620689655172","age","30"
"Apr 3, 2017","0","22.4888888888889","22.4888888888889","36.8","10.2222222222222","age","30"
"Apr 4, 2017","0","17.1525423728814","24.9491525423729","42.1016949152542","7.79661016949153","age","30"
"Apr 5, 2017","16.4285714285714","16.4285714285714","16.4285714285714","16.4285714285714","26.2857142857143","age","30"
"Apr 6, 2017","9.2","26.0666666666667","16.8666666666667","29.1333333333333","10.7333333333333","age","30"
"Apr 7, 2017","9.85714285714286","19.7142857142857","9.85714285714286","32.8571428571429","19.7142857142857","age","30"
"Apr 8, 2017","0","46","17.8888888888889","0","28.1111111111111","age","30"
"Apr 9, 2017","0","6.77894736842105","6.77894736842105","23.2421052631579","55.2","age","30"
"Apr 10, 2017","12.4938271604938","9.08641975308642","12.4938271604938","20.4444444444444","37.4814814814815","age","30"
"Apr 11, 2017","6.01869158878505","24.0747663551402","6.8785046728972","31.8130841121495","23.214953271028","age","30"
"Apr 12, 2017","12.8372093023256","12.8372093023256","12.8372093023256","12.8372093023256","40.6511627906977","age","30"
"Apr 13, 2017","8.36363636363636","15.3333333333333","15.3333333333333","26.4848484848485","26.4848484848485","age","30"
"Apr 14, 2017","13.8","13.8","13.8","0","50.6","age","30"
"Apr 15, 2017","9.29292929292929","15.7979797979798","9.29292929292929","24.1616161616162","33.4545454545455","age","30"
"Apr 16, 2017","8.82191780821918","8.82191780821918","12.6027397260274","28.986301369863","32.7671232876712","age","30"
"Apr 17, 2017","5.69072164948454","21.8144329896907","8.5360824742268","28.4536082474227","27.5051546391753","age","30"
"Apr 18, 2017","6.96969696969697","27.8787878787879","11.1515151515152","0","46","age","30"
"Apr 19, 2017","6.75229357798165","21.1009174311927","10.9724770642202","25.3211009174312","27.8532110091743","age","30"
