date,hamon immigration,macron immigration,fillon immigration,le pen immigration,mélenchon immigration,query,time
"Mar 22, 2017","16.7272727272727","16.7272727272727","16.7272727272727","25.0909090909091","16.7272727272727","age","30"
"Mar 23, 2017","13.8","23","23","9.2","23","age","30"
"Mar 24, 2017","0","32.8571428571429","0","26.2857142857143","32.8571428571429","age","30"
"Mar 25, 2017","0","33.4545454545455","16.7272727272727","16.7272727272727","25.0909090909091","age","30"
"Mar 26, 2017","14.1538461538462","21.2307692307692","14.1538461538462","28.3076923076923","14.1538461538462","age","30"
"Mar 27, 2017","8.76190476190476","8.76190476190476","8.76190476190476","48.1904761904762","17.5238095238095","age","30"
"Mar 28, 2017","14.5263157894737","14.5263157894737","14.5263157894737","24.2105263157895","24.2105263157895","age","30"
"Mar 29, 2017","0","37.8823529411765","10.8235294117647","32.4705882352941","10.8235294117647","age","30"
"Mar 30, 2017","10.8235294117647","16.2352941176471","16.2352941176471","21.6470588235294","27.0588235294118","age","30"
"Mar 31, 2017","0","21.2307692307692","14.1538461538462","28.3076923076923","28.3076923076923","age","30"
"Apr 1, 2017","16.7272727272727","16.7272727272727","0","58.5454545454545","0","age","30"
"Apr 2, 2017","0","15.3333333333333","0","46","30.6666666666667","age","30"
"Apr 3, 2017","11.5","11.5","17.25","23","28.75","age","30"
"Apr 4, 2017","0","35.3846153846154","21.2307692307692","35.3846153846154","0","age","30"
"Apr 5, 2017","0","69","0","23","0","age","30"
"Apr 6, 2017","9.51724137931035","28.551724137931","6.3448275862069","28.551724137931","19.0344827586207","age","30"
"Apr 7, 2017","16","24","16","24","12","age","30"
"Apr 8, 2017","0","23","23","23","23","age","30"
"Apr 9, 2017","0","23","23","23","23","age","30"
"Apr 10, 2017","7.07692307692308","14.1538461538462","7.07692307692308","17.6923076923077","46","age","30"
"Apr 11, 2017","13.8","18.4","13.8","23","23","age","30"
"Apr 12, 2017","10.2222222222222","15.3333333333333","10.2222222222222","20.4444444444444","35.7777777777778","age","30"
"Apr 13, 2017","0","20.4444444444444","0","0","71.5555555555556","age","30"
"Apr 14, 2017","0","14.1538461538462","0","28.3076923076923","49.5384615384615","age","30"
"Apr 15, 2017","0","25.0909090909091","0","0","66.9090909090909","age","30"
"Apr 16, 2017","7.36","29.44","7.36","14.72","33.12","age","30"
"Apr 17, 2017","0","33.7333333333333","0","18.4","39.8666666666667","age","30"
"Apr 18, 2017","0.803493449781659","4.0174672489083","4.82096069868996","80.3493449781659","2.00873362445415","age","30"
"Apr 19, 2017","6.81481481481481","23.8518518518519","6.81481481481481","37.4814814814815","17.037037037037","age","30"
