date,hamon programme,macron programme,fillon programme,le pen programme,mélenchon programme,query,time
"Mar 22, 2017","7.52727272727273","30.9454545454545","11.7090909090909","15.8909090909091","25.9272727272727","age","30"
"Mar 23, 2017","6.31372549019608","37.8823529411765","12.6274509803922","15.3333333333333","19.843137254902","age","30"
"Mar 24, 2017","7.23595505617978","32.0449438202247","16.5393258426966","20.6741573033708","15.5056179775281","age","30"
"Mar 25, 2017","7.66666666666667","36.4166666666667","12.4583333333333","16.2916666666667","19.1666666666667","age","30"
"Mar 26, 2017","8.36363636363636","30.4132231404959","11.404958677686","19.0082644628099","22.8099173553719","age","30"
"Mar 27, 2017","9.2","28.75","13.8","19.55","20.7","age","30"
"Mar 28, 2017","9.85714285714286","29.5714285714286","13.1428571428571","20.8095238095238","18.6190476190476","age","30"
"Mar 29, 2017","8.05","39.1","10.35","17.25","17.25","age","30"
"Mar 30, 2017","9","30","12","20","21","age","30"
"Mar 31, 2017","7.75903614457831","33.2530120481928","14.4096385542169","16.6265060240964","19.9518072289157","age","30"
"Apr 1, 2017","7.31818181818182","37.6363636363636","12.5454545454545","15.6818181818182","18.8181818181818","age","30"
"Apr 2, 2017","7.12676056338028","28.5070422535211","10.3661971830986","17.4929577464789","28.5070422535211","age","30"
"Apr 3, 2017","8.76190476190476","28.9142857142857","14.0190476190476","18.4","21.9047619047619","age","30"
"Apr 4, 2017","9.72357723577236","29.9186991869919","13.4634146341463","15.7073170731707","23.1869918699187","age","30"
"Apr 5, 2017","8.79411764705882","27.7352941176471","12.8529411764706","14.8823529411765","27.7352941176471","age","30"
"Apr 6, 2017","7.60902255639098","31.1278195488722","12.4511278195489","15.218045112782","25.593984962406","age","30"
"Apr 7, 2017","6.44","32.2","14.72","10.12","28.52","age","30"
"Apr 8, 2017","6.45614035087719","27.4385964912281","9.68421052631579","16.9473684210526","31.4736842105263","age","30"
"Apr 9, 2017","5.07975460122699","22.5766871165644","12.4171779141104","15.239263803681","36.6871165644172","age","30"
"Apr 10, 2017","5.31791907514451","20.7398843930636","11.1676300578035","10.635838150289","44.1387283236994","age","30"
"Apr 11, 2017","6.05263157894737","23","11.5","13.3157894736842","38.1315789473684","age","30"
"Apr 12, 2017","5.81609195402299","23.7931034482759","9.51724137931035","11.632183908046","41.2413793103448","age","30"
"Apr 13, 2017","5.25714285714286","23.1314285714286","8.93714285714286","11.04","43.6342857142857","age","30"
"Apr 14, 2017","6.38150289017341","23.9306358381503","9.04046242774567","13.2947976878613","39.3526011560694","age","30"
"Apr 15, 2017","7.88571428571429","23.6571428571429","13.1428571428571","12.6171428571429","34.6971428571429","age","30"
"Apr 16, 2017","6.63461538461538","25.2115384615385","11.0576923076923","15.0384615384615","34.0576923076923","age","30"
"Apr 17, 2017","6.52702702702703","31.0810810810811","11.8108108108108","15.2297297297297","27.3513513513514","age","30"
"Apr 18, 2017","7.16393442622951","27.9016393442623","13.1967213114754","15.4590163934426","28.2786885245902","age","30"
"Apr 19, 2017","7.66666666666667","29.5166666666667","12.65","15.3333333333333","26.8333333333333","age","30"
