date,hamon facebook,macron facebook,fillon facebook,le pen facebook,mélenchon facebook,query,time
"Mar 22, 2017","4.6","12.65","26.45","24.15","24.15","age","30"
"Mar 23, 2017","4.20915032679739","21.0457516339869","25.2549019607843","25.8562091503268","15.6339869281046","age","30"
"Mar 24, 2017","3","12","50","18.5","8.5","age","30"
"Mar 25, 2017","3.49367088607595","9.31645569620253","41.9240506329114","20.9620253164557","16.3037974683544","age","30"
"Mar 26, 2017","5.84971098265896","17.5491329479769","22.8670520231214","22.8670520231214","22.8670520231214","age","30"
"Mar 27, 2017","10.2222222222222","13.4166666666667","21.7222222222222","29.3888888888889","17.25","age","30"
"Mar 28, 2017","6.05988023952096","12.1197604790419","30.8502994011976","28.6467065868263","14.3233532934132","age","30"
"Mar 29, 2017","5.52","16.56","25.1466666666667","30.0533333333333","14.72","age","30"
"Mar 30, 2017","10.6153846153846","15.5692307692308","29.0153846153846","24.7692307692308","12.0307692307692","age","30"
"Mar 31, 2017","4.63865546218487","18.5546218487395","22.4201680672269","21.6470588235294","24.7394957983193","age","30"
"Apr 1, 2017","6.61870503597122","31.1079136690648","19.8561151079137","22.5035971223022","11.9136690647482","age","30"
"Apr 2, 2017","4.74838709677419","20.7741935483871","20.7741935483871","25.5225806451613","20.1806451612903","age","30"
"Apr 3, 2017","7.28057553956834","16.5467625899281","27.7985611510791","30.4460431654676","9.92805755395683","age","30"
"Apr 4, 2017","10.4715447154472","17.2032520325203","20.1951219512195","26.9268292682927","17.2032520325203","age","30"
"Apr 5, 2017","6.24691358024691","19.3086419753086","21.5802469135802","27.8271604938272","17.037037037037","age","30"
"Apr 6, 2017","2.28571428571429","20.5714285714286","30.8571428571429","24.5714285714286","13.7142857142857","age","30"
"Apr 7, 2017","3.92682926829268","21.8780487804878","37.5853658536585","11.780487804878","16.8292682926829","age","30"
"Apr 8, 2017","4.35502958579882","18.508875739645","19.0532544378698","31.0295857988166","19.0532544378698","age","30"
"Apr 9, 2017","6.13333333333333","10.8512820512821","16.0410256410256","27.3641025641026","31.6102564102564","age","30"
"Apr 10, 2017","2.94871794871795","12.3846153846154","24.7692307692308","23.5897435897436","28.3076923076923","age","30"
"Apr 11, 2017","5.04878048780488","13.4634146341463","21.3170731707317","21.8780487804878","30.2926829268293","age","30"
"Apr 12, 2017","9.06060606060606","17.4242424242424","16.030303030303","19.5151515151515","29.969696969697","age","30"
"Apr 13, 2017","3.61797752808989","18.6067415730337","17.0561797752809","25.3258426966292","27.3932584269663","age","30"
"Apr 14, 2017","4.67796610169492","12.9943502824859","16.1129943502825","34.3050847457627","23.909604519774","age","30"
"Apr 15, 2017","4.35135135135135","13.0540540540541","25.4864864864865","26.1081081081081","23","age","30"
"Apr 16, 2017","3.10112359550562","13.438202247191","16.0224719101124","21.7078651685393","37.7303370786517","age","30"
"Apr 17, 2017","4.47787610619469","27.2743362831858","12.6194690265487","30.9380530973451","16.6902654867257","age","30"
"Apr 18, 2017","4.97297297297297","16.5765765765766","18.6486486486486","33.5675675675676","18.2342342342342","age","30"
"Apr 19, 2017","6.01869158878505","15.0467289719626","15.0467289719626","35.6822429906542","20.2056074766355","age","30"
