date,hamon éducation,macron éducation,fillon éducation,le pen éducation,mélenchon éducation,query,time
"Mar 22, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","30"
"Mar 23, 2017","42.6341463414634","14.0243902439024","21.3170731707317","0","14.0243902439024","age","30"
"Mar 24, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","30"
"Mar 25, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","30"
"Mar 26, 2017","0","61.0105263157895","0","0","30.9894736842105","age","30"
"Mar 27, 2017","23","23","23","0","23","age","30"
"Mar 28, 2017","23","23","23","0","23","age","30"
"Mar 29, 2017","0","92","0","0","0","age","30"
"Mar 30, 2017","30.6666666666667","15.3333333333333","15.3333333333333","0","30.6666666666667","age","30"
"Mar 31, 2017","23","23","23","0","23","age","30"
"Apr 1, 2017","0","46","0","0","46","age","30"
"Apr 2, 2017","23","23","0","0","46","age","30"
"Apr 3, 2017","92","0","0","0","0","age","30"
"Apr 4, 2017","28.4363636363636","21.1878787878788","28.4363636363636","0","13.9393939393939","age","30"
"Apr 5, 2017","0","45.5533980582524","23.2233009708738","0","23.2233009708738","age","30"
"Apr 6, 2017","0","0","92","0","0","age","30"
"Apr 7, 2017","0","36.8","36.8","0","18.4","age","30"
"Apr 8, 2017","0","0","0","0","0","age","30"
"Apr 9, 2017","0","36.8","0","0","55.2","age","30"
"Apr 10, 2017","36.8","18.4","18.4","0","18.4","age","30"
"Apr 11, 2017","0","30.6666666666667","0","0","61.3333333333333","age","30"
"Apr 12, 2017","0","31.05","0","0","60.95","age","30"
"Apr 13, 2017","20.3606557377049","20.3606557377049","20.3606557377049","0","30.9180327868852","age","30"
"Apr 14, 2017","22.7964601769912","46.4070796460177","0","0","22.7964601769912","age","30"
"Apr 15, 2017","0","37.0314465408805","0","0","54.9685534591195","age","30"
"Apr 16, 2017","18.6190476190476","0","18.6190476190476","0","54.7619047619048","age","30"
"Apr 17, 2017","18.640522875817","36.6797385620915","0","0","36.6797385620915","age","30"
"Apr 18, 2017","0","0","31.0649350649351","0","60.9350649350649","age","30"
"Apr 19, 2017","13.2888888888889","26.5777777777778","26.0666666666667","0","26.0666666666667","age","30"
