date,hamon sondage,macron sondage,fillon sondage,le pen sondage,mélenchon sondage,query,time
"Mar 22, 2017","3.93162393162393","20.4444444444444","40.8888888888889","13.3675213675214","13.3675213675214","age","30"
"Mar 23, 2017","2.73267326732673","21.8613861386139","43.7227722772277","12.7524752475248","10.9306930693069","age","30"
"Mar 24, 2017","2.52054794520548","14.4931506849315","57.972602739726","9.45205479452055","7.56164383561644","age","30"
"Mar 25, 2017","4.10714285714286","17.25","46","11.5","13.1428571428571","age","30"
"Mar 26, 2017","4.64646464646465","18.5858585858586","39.030303030303","14.8686868686869","14.8686868686869","age","30"
"Mar 27, 2017","6.01869158878505","19.7757009345794","38.6915887850467","12.8971962616822","14.6168224299065","age","30"
"Mar 28, 2017","2.45989304812834","10.331550802139","23.1229946524064","48.2139037433155","7.87165775401069","age","30"
"Mar 29, 2017","7.59633027522936","17.7247706422018","36.2935779816514","15.1926605504587","15.1926605504587","age","30"
"Mar 30, 2017","5.29496402877698","19.1942446043165","37.726618705036","11.9136690647482","17.8705035971223","age","30"
"Mar 31, 2017","3.23943661971831","23.3239436619718","38.8732394366197","11.6619718309859","14.9014084507042","age","30"
"Apr 1, 2017","2.42105263157895","29.6578947368421","41.7631578947368","7.86842105263158","10.2894736842105","age","30"
"Apr 2, 2017","1.59307359307359","32.6580086580087","39.8268398268398","5.57575757575758","12.3463203463203","age","30"
"Apr 3, 2017","3.10810810810811","23","39.1621621621622","7.45945945945946","19.2702702702703","age","30"
"Apr 4, 2017","4.34645669291339","20.2834645669291","35.496062992126","13.7637795275591","18.1102362204724","age","30"
"Apr 5, 2017","3.68","19.6266666666667","39.2533333333333","12.2666666666667","17.1733333333333","age","30"
"Apr 6, 2017","3.47169811320755","28.9308176100629","37.6100628930818","9.83647798742138","12.1509433962264","age","30"
"Apr 7, 2017","2.62857142857143","33.12","31.0171428571429","8.41142857142857","16.8228571428571","age","30"
"Apr 8, 2017","3.80689655172414","21.5724137931034","29.8206896551724","11.4206896551724","25.3793103448276","age","30"
"Apr 9, 2017","3.46236559139785","14.3440860215054","32.1505376344086","11.3763440860215","30.6666666666667","age","30"
"Apr 10, 2017","2.98701298701299","17.9220779220779","31.0649350649351","10.1558441558442","29.8701298701299","age","30"
"Apr 11, 2017","7.2156862745098","18.0392156862745","29.4640522875817","12.6274509803922","24.6535947712418","age","30"
"Apr 12, 2017","3.95092024539877","19.7546012269939","26.5276073619632","15.8036809815951","25.9631901840491","age","30"
"Apr 13, 2017","3.22","21.16","26.68","13.34","27.6","age","30"
"Apr 14, 2017","1.88524590163934","12.0655737704918","21.8688524590164","19.983606557377","36.1967213114754","age","30"
"Apr 15, 2017","2.11981566820277","12.7188940092166","22.4700460829493","25.0138248847926","29.6774193548387","age","30"
"Apr 16, 2017","3.20398009950249","19.2238805970149","29.2935323383085","10.0696517412935","30.2089552238806","age","30"
"Apr 17, 2017","2.67096774193548","24.3354838709677","29.6774193548387","15.1354838709677","20.1806451612903","age","30"
"Apr 18, 2017","2.5414364640884","19.3149171270718","34.0552486187845","14.232044198895","21.8563535911602","age","30"
"Apr 19, 2017","3.06666666666667","24.5333333333333","27.2166666666667","19.55","17.6333333333333","age","30"
