date,hamon youtube,macron youtube,fillon youtube,le pen youtube,mélenchon youtube,query,time
"Mar 22, 2017","6.4","20","23.2","20","22.4","age","30"
"Mar 23, 2017","3.59375","13.65625","15.8125","28.03125","30.90625","age","30"
"Mar 24, 2017","2.69268292682927","10.3219512195122","44.8780487804878","17.9512195121951","16.1560975609756","age","30"
"Mar 25, 2017","3.32530120481928","10.5301204819277","44.3373493975904","17.1807228915663","16.6265060240964","age","30"
"Mar 26, 2017","1.85234899328859","11.7315436241611","32.1073825503356","19.1409395973154","27.1677852348993","age","30"
"Mar 27, 2017","5.41176470588235","12.3697478991597","16.2352941176471","39.4285714285714","18.5546218487395","age","30"
"Mar 28, 2017","2.2258064516129","10.3870967741935","24.4838709677419","34.8709677419355","20.0322580645161","age","30"
"Mar 29, 2017","6.48717948717949","11.2051282051282","15.3333333333333","31.2564102564103","27.7179487179487","age","30"
"Mar 30, 2017","6.41860465116279","14.9767441860465","20.3255813953488","24.6046511627907","25.6744186046512","age","30"
"Mar 31, 2017","6.63917525773196","12.3298969072165","20.8659793814433","31.298969072165","20.8659793814433","age","30"
"Apr 1, 2017","2.944","24.288","10.304","34.592","19.872","age","30"
"Apr 2, 2017","2.45333333333333","13.4933333333333","5.52","24.5333333333333","46","age","30"
"Apr 3, 2017","2.46428571428571","10.6785714285714","17.25","28.75","32.8571428571429","age","30"
"Apr 4, 2017","4","16","22","21","29","age","30"
"Apr 5, 2017","3.77049180327869","13.5737704918033","26.3934426229508","19.6065573770492","28.655737704918","age","30"
"Apr 6, 2017","3.56589147286822","21.3953488372093","24.2480620155039","16.4031007751938","26.3875968992248","age","30"
"Apr 7, 2017","3.80689655172414","18.4","26.0137931034483","17.1310344827586","26.648275862069","age","30"
"Apr 8, 2017","3.06666666666667","11.6533333333333","12.88","26.9866666666667","37.4133333333333","age","30"
"Apr 9, 2017","3.18614718614719","5.57575757575758","12.7445887445887","21.1082251082251","49.3852813852814","age","30"
"Apr 10, 2017","1.90344827586207","9.51724137931035","14.5931034482759","20.9379310344828","45.048275862069","age","30"
"Apr 11, 2017","7.66666666666667","10.8611111111111","10.2222222222222","23.6388888888889","39.6111111111111","age","30"
"Apr 12, 2017","4.6","18.975","13.225","15.525","39.675","age","30"
"Apr 13, 2017","4.84210526315789","8.87719298245614","14.5263157894737","21.7894736842105","41.9649122807018","age","30"
"Apr 14, 2017","3.86013986013986","9.65034965034965","12.8671328671329","28.9510489510489","36.6713286713287","age","30"
"Apr 15, 2017","5.32631578947368","12.5894736842105","13.5578947368421","26.6315789473684","33.8947368421053","age","30"
"Apr 16, 2017","3.20398009950249","6.86567164179104","11.9004975124378","15.5621890547264","54.4676616915423","age","30"
"Apr 17, 2017","2.76394849785408","22.1115879828326","11.450643776824","17.3733905579399","38.3004291845494","age","30"
"Apr 18, 2017","4.43859649122807","9.68421052631579","8.07017543859649","27.4385964912281","42.3684210526316","age","30"
"Apr 19, 2017","5.33928571428571","13.9642857142857","7.80357142857143","34.0892857142857","30.8035714285714","age","30"
