date,hamon livre,macron livre,fillon livre,le pen livre,mélenchon livre,query,time
"Mar 22, 2017","0","23","14.1538461538462","30.0769230769231","24.7692307692308","age","30"
"Mar 23, 2017","3.26627218934911","11.4319526627219","53.8934911242604","7.62130177514793","15.7869822485207","age","30"
"Mar 24, 2017","1.36633663366337","10.019801980198","45.5445544554455","22.7722772277228","12.2970297029703","age","30"
"Mar 25, 2017","8.51851851851852","10.2222222222222","20.4444444444444","27.2592592592593","25.5555555555556","age","30"
"Mar 26, 2017","4.65822784810127","32.6075949367089","16.3037974683544","0","38.4303797468354","age","30"
"Mar 27, 2017","17.6923076923077","5.30769230769231","14.1538461538462","24.7692307692308","30.0769230769231","age","30"
"Mar 28, 2017","9.78723404255319","5.87234042553191","31.3191489361702","39.1489361702128","5.87234042553191","age","30"
"Mar 29, 2017","5.28735632183908","17.9770114942529","12.6896551724138","29.6091954022989","26.4367816091954","age","30"
"Mar 30, 2017","8.67924528301887","15.622641509434","12.1509433962264","26.0377358490566","29.5094339622642","age","30"
"Mar 31, 2017","0","12.7777777777778","17.8888888888889","61.3333333333333","0","age","30"
"Apr 1, 2017","6.3448275862069","23.7931034482759","6.3448275862069","49.1724137931034","6.3448275862069","age","30"
"Apr 2, 2017","5.69072164948454","18.020618556701","11.3814432989691","36.0412371134021","20.8659793814433","age","30"
"Apr 3, 2017","14.3111111111111","10.2222222222222","6.13333333333333","55.2","6.13333333333333","age","30"
"Apr 4, 2017","28.1411764705882","11.9058823529412","14.0705882352941","21.6470588235294","16.2352941176471","age","30"
"Apr 5, 2017","8.58666666666667","8.58666666666667","9.81333333333333","46.6133333333333","18.4","age","30"
"Apr 6, 2017","13.7021276595745","5.87234042553191","19.5744680851064","23.4893617021277","29.3617021276596","age","30"
"Apr 7, 2017","0","10.952380952381","8.76190476190476","63.5238095238095","8.76190476190476","age","30"
"Apr 8, 2017","11.2982456140351","14.5263157894737","11.2982456140351","24.2105263157895","30.6666666666667","age","30"
"Apr 9, 2017","6.3448275862069","6.3448275862069","6.3448275862069","30.1379310344828","42.8275862068965","age","30"
"Apr 10, 2017","0","6.13333333333333","6.13333333333333","30.6666666666667","49.0666666666667","age","30"
"Apr 11, 2017","0","15.7073170731707","6.73170731707317","47.1219512195122","22.4390243902439","age","30"
"Apr 12, 2017","0","6.21621621621622","3.72972972972973","48.4864864864865","33.5675675675676","age","30"
"Apr 13, 2017","4.38095238095238","10.2222222222222","0","55.4920634920635","21.9047619047619","age","30"
"Apr 14, 2017","4.22988505747126","5.28735632183908","4.22988505747126","39.1264367816092","39.1264367816092","age","30"
"Apr 15, 2017","0","0","11.265306122449","54.4489795918367","26.2857142857143","age","30"
"Apr 16, 2017","0","7.82978723404255","7.82978723404255","29.3617021276596","46.9787234042553","age","30"
"Apr 17, 2017","0","18.6666666666667","10.6666666666667","29.3333333333333","33.3333333333333","age","30"
"Apr 18, 2017","5.11111111111111","17.037037037037","11.9259259259259","28.962962962963","28.962962962963","age","30"
"Apr 19, 2017","3.49367088607595","9.31645569620253","8.15189873417722","30.2784810126582","40.7594936708861","age","30"
