date,hamon TOTAL,macron TOTAL,fillon TOTAL,le pen TOTAL,mélenchon TOTAL,query,time
"Mar 22, 2017","6.88423889851145","23.2042844389113","20.5273863623419","20.0461927972646","21.3378975029708","age","30"
"Mar 23, 2017","6.15477389841098","24.2160803235985","25.6372958071678","18.1057355978484","17.8861143729743","age","30"
"Mar 24, 2017","5.69162009187556","16.9110770942537","36.9576396078307","20.7503210066624","11.6893421993776","age","30"
"Mar 25, 2017","5.70482903225707","17.4935883338443","30.1000990541027","19.430736431928","19.270747147868","age","30"
"Mar 26, 2017","6.29955225579062","22.8585739721279","22.8731143814254","16.5849021065171","23.3838572841391","age","30"
"Mar 27, 2017","9.0902723986935","17.4835361514639","19.5770304305849","29.350278124073","16.4988828951848","age","30"
"Mar 28, 2017","8.22072667100321","14.4411234363384","20.7418585809257","35.472457764721","13.1238335470117","age","30"
"Mar 29, 2017","7.18077342563829","26.8798308082468","15.2909870213257","26.3896858256175","16.2587229191718","age","30"
"Mar 30, 2017","8.24337786848096","23.7810546074789","18.7440371682127","20.3951633484856","20.8363670073419","age","30"
"Mar 31, 2017","7.19237905450835","25.3196296302544","20.3955293529906","25.6628701456551","13.4295918165915","age","30"
"Apr 1, 2017","8.75012467257336","25.2659158359398","16.7464278814277","28.0879097452557","13.1496218648034","age","30"
"Apr 2, 2017","5.36396521932731","21.0605419567244","16.1963016413844","24.8500213037576","24.5291698788063","age","30"
"Apr 3, 2017","7.59359003345014","19.0797209708809","19.6257850392264","25.8300819723141","19.8708219841285","age","30"
"Apr 4, 2017","9.04733564180966","20.5050308683835","20.6939939326544","23.8920785294058","17.8615610277466","age","30"
"Apr 5, 2017","8.08944727887902","24.3047727490001","17.3325572853982","22.1242820218232","20.1489406648995","age","30"
"Apr 6, 2017","6.9669201434851","25.89511543373","22.3806388136304","18.5830709875915","18.174254621563","age","30"
"Apr 7, 2017","5.84476847492901","28.0583188929936","20.1463408456341","19.2446734064651","18.7058983799782","age","30"
"Apr 8, 2017","4.91832236285299","24.8044875808386","14.6514204850533","21.3699295294289","26.2558400418262","age","30"
"Apr 9, 2017","4.6720077408116","15.1903650654719","16.7748540536965","20.6448645199974","34.7179086200226","age","30"
"Apr 10, 2017","6.50680871955193","14.0039523685629","13.5319983679401","19.7714853933082","38.1857551506369","age","30"
"Apr 11, 2017","6.74234393007406","19.0662336218089","14.5679920846023","21.9674523287369","29.6559780347778","age","30"
"Apr 12, 2017","6.93922067367386","19.0556670119215","14.6588462945435","16.4057632796947","34.9405027401665","age","30"
"Apr 13, 2017","4.59931878283996","18.5732071455727","13.8716180589515","18.4328969740173","36.5229590386185","age","30"
"Apr 14, 2017","6.55946317925908","16.6595943604858","12.4931001616758","20.8758727696837","35.4119695288956","age","30"
"Apr 15, 2017","5.29914007322926","16.1321676976269","14.0477505315136","21.1981620288198","35.3227796688104","age","30"
"Apr 16, 2017","6.76300156960552","17.788240679037","15.158424933688","17.6598140310174","34.6305187866522","age","30"
"Apr 17, 2017","4.73469294745442","27.6518602705856","12.8951172771869","18.7318539713411","27.9864755334319","age","30"
"Apr 18, 2017","6.04246880166939","20.8197372312998","15.4363931522924","25.0657702411873","24.6356305735511","age","30"
"Apr 19, 2017","7.27104423816514","21.2706469518057","14.7355605341608","23.6331326526308","25.0896156232375","age","30"
