date,hamon WEB_BEST_TOPIC,macron WEB_BEST_TOPIC,fillon WEB_BEST_TOPIC,le pen WEB_BEST_TOPIC,mélenchon WEB_BEST_TOPIC,query,time
"Mar 22, 2017","6.92357111874187","22.5720997246457","20.4375882789659","20.1965925677093","21.8701483099372","age","30"
"Mar 23, 2017","5.95465510092734","23.87132829621","24.7387231987682","19.16637196587","18.2689214382245","age","30"
"Mar 24, 2017","5.59167054874743","16.208969263426","37.6026787088033","20.8980729611422","11.698608517881","age","30"
"Mar 25, 2017","5.42736812762736","16.722128943817","30.7773177547686","19.4017757124193","19.6714094613678","age","30"
"Mar 26, 2017","6.03765569518093","21.8638005881725","23.1645746401916","17.2610959355818","23.6728731408731","age","30"
"Mar 27, 2017","8.90910550002538","17.1299029606634","19.9655419644901","29.5879666070025","16.4074829678186","age","30"
"Mar 28, 2017","7.9253721293056","14.5170180001143","21.382859253745","34.7304474688438","13.4443031479912","age","30"
"Mar 29, 2017","7.43075568979903","25.8195118795684","15.6918885237815","26.4824004685428","16.5754434383083","age","30"
"Mar 30, 2017","8.43697408179957","22.8309391432296","19.0738824112676","21.1793218387747","20.4788825249286","age","30"
"Mar 31, 2017","6.96780135332894","24.1727880741335","20.6336390218887","25.9265066974937","14.2992648531552","age","30"
"Apr 1, 2017","8.72604114739974","25.4062911507945","16.3938285322682","28.1837093514898","13.2901298180477","age","30"
"Apr 2, 2017","5.53319584537811","20.3707700209176","15.6019488457519","25.1244822229543","25.3696030649981","age","30"
"Apr 3, 2017","7.43476293586673","18.6774301972698","19.7181621296054","26.2882614533613","19.8813832838967","age","30"
"Apr 4, 2017","8.65145200211761","20.1795224334235","20.4897246887762","24.3671695990698","18.3121312766129","age","30"
"Apr 5, 2017","7.68181785263737","23.6956510564335","17.6079920756388","22.3079474247543","20.706591590536","age","30"
"Apr 6, 2017","6.40495894240396","25.4934911057103","23.2210378455627","18.7231829819959","18.1573291243272","age","30"
"Apr 7, 2017","5.89028286264139","26.8835078901256","20.937971945093","18.7371973751929","19.551039926947","age","30"
"Apr 8, 2017","4.88510091468852","23.3782321631511","15.0321856721599","21.8394101212888","26.8650711287117","age","30"
"Apr 9, 2017","4.70094169336913","14.5951640037129","16.6216755420878","20.6448329986406","35.4373857621895","age","30"
"Apr 10, 2017","6.24569607364021","14.1109863678901","13.8845668819781","20.05360298541","37.7051476910816","age","30"
"Apr 11, 2017","6.56211284217548","18.4630551104944","14.776838448592","21.9673606243532","30.2306329743849","age","30"
"Apr 12, 2017","7.02700952758922","19.0616176569961","14.5617321079055","15.917987558106","35.4316531494032","age","30"
"Apr 13, 2017","4.45248863109772","17.8992855067499","14.0836476298216","18.3925439729289","37.1720342594019","age","30"
"Apr 14, 2017","6.44407107020359","16.2193613688426","12.8714912465185","21.3310097707933","35.134066543642","age","30"
"Apr 15, 2017","5.19248154104082","15.9836312389708","14.4839908765121","21.1955544610094","35.1443418824668","age","30"
"Apr 16, 2017","6.60400383430323","17.0749813468105","14.9299809935888","17.9179874196845","35.4730464056129","age","30"
"Apr 17, 2017","4.49729691665119","27.6195790302251","12.8683128565372","18.8920287569838","28.1227824396027","age","30"
"Apr 18, 2017","5.92021831520234","20.017270496046","15.2963278696659","25.8011762853195","24.9650070337663","age","30"
"Apr 19, 2017","7.21331779459566","20.7202442164765","14.5487420399394","24.3969491067911","25.1207468421972","age","30"
