date,hamon blog,macron blog,fillon blog,le pen blog,mélenchon blog,query,time
"Mar 22, 2017","0","11.5","11.5","9.58333333333333","59.4166666666667","age","30"
"Mar 23, 2017","0","18","13","15","46","age","30"
"Mar 24, 2017","0","6.52903225806452","37.9870967741935","13.058064516129","34.4258064516129","age","30"
"Mar 25, 2017","0","18.5","24.5","6","43","age","30"
"Mar 26, 2017","0","7.24848484848485","13.9393939393939","24.5333333333333","46.2787878787879","age","30"
"Mar 27, 2017","0","14.488188976378","7.24409448818898","29.7007874015748","40.5669291338583","age","30"
"Mar 28, 2017","0","11.6751269035533","9.34010152284264","40.1624365482233","30.8223350253807","age","30"
"Mar 29, 2017","0","17.0857142857143","6.57142857142857","26.9428571428571","41.4","age","30"
"Mar 30, 2017","0","9.37579617834395","12.8917197452229","25.1974522292994","44.5350318471338","age","30"
"Mar 31, 2017","0","17.5238095238095","14.7857142857143","26.8333333333333","32.8571428571429","age","30"
"Apr 1, 2017","0","9.68421052631579","19.3684210526316","14.5263157894737","48.4210526315789","age","30"
"Apr 2, 2017","0","7.03184713375796","17.5796178343949","24.6114649681529","42.7770700636943","age","30"
"Apr 3, 2017","0","0","10.9037037037037","25.2148148148148","55.8814814814815","age","30"
"Apr 4, 2017","0","12.7777777777778","22.1481481481481","26.4074074074074","30.6666666666667","age","30"
"Apr 5, 2017","0","8.51851851851852","13.6296296296296","8.51851851851852","61.3333333333333","age","30"
"Apr 6, 2017","0","5.91812865497076","25.8245614035088","34.4327485380117","25.8245614035088","age","30"
"Apr 7, 2017","0","13.1428571428571","30.9243697478992","8.50420168067227","39.4285714285714","age","30"
"Apr 8, 2017","0","22.7228915662651","22.7228915662651","15.5180722891566","31.0361445783133","age","30"
"Apr 9, 2017","0","8.58666666666667","16.56","25.1466666666667","41.7066666666667","age","30"
"Apr 10, 2017","0","16.2721088435374","13.1428571428571","13.1428571428571","49.4421768707483","age","30"
"Apr 11, 2017","0","18.5373134328358","14.4179104477612","18.5373134328358","40.5074626865672","age","30"
"Apr 12, 2017","0","6.48717948717949","18.8717948717949","25.3589743589744","41.2820512820513","age","30"
"Apr 13, 2017","0","6.40506329113924","6.40506329113924","22.126582278481","57.0632911392405","age","30"
"Apr 14, 2017","0","6.9","6.325","12.65","66.125","age","30"
"Apr 15, 2017","0","7.42857142857143","14.8571428571429","22.2857142857143","47.4285714285714","age","30"
"Apr 16, 2017","0","10.4810126582278","26.3966244725738","20.9620253164557","34.1603375527426","age","30"
"Apr 17, 2017","0","12.7892376681614","4.95067264573991","25.5784753363229","48.6816143497758","age","30"
"Apr 18, 2017","0","13.906976744186","21.9302325581395","19.7906976744186","36.3720930232558","age","30"
"Apr 19, 2017","0","16.2352941176471","7.73109243697479","23.9663865546218","44.0672268907563","age","30"
