date,hamon chomage,macron chomage,fillon chomage,le pen chomage,mélenchon chomage,query,time
"Mar 22, 2017","0","61.3333333333333","30.6666666666667","0","0","age","30"
"Mar 23, 2017","0","50.972972972973","41.027027027027","0","0","age","30"
"Mar 24, 2017","0","39.8666666666667","52.1333333333333","0","0","age","30"
"Mar 25, 2017","0","92","0","0","0","age","30"
"Mar 26, 2017","0","51.5604395604396","40.4395604395604","0","0","age","30"
"Mar 27, 2017","0","46","46","0","0","age","30"
"Mar 28, 2017","0","42.3820224719101","33.0786516853933","0","16.5393258426966","age","30"
"Mar 29, 2017","0","51.52","40.48","0","0","age","30"
"Mar 30, 2017","0","61.9230769230769","30.0769230769231","0","0","age","30"
"Mar 31, 2017","0","50.3578947368421","25.1789473684211","0","16.4631578947368","age","30"
"Apr 1, 2017","0","51.816091954023","20.0919540229885","0","20.0919540229885","age","30"
"Apr 2, 2017","0","0","0","0","92","age","30"
"Apr 3, 2017","0","46","46","0","0","age","30"
"Apr 4, 2017","0","50.972972972973","0","0","41.027027027027","age","30"
"Apr 5, 2017","0","60.72","31.28","0","0","age","30"
"Apr 6, 2017","0","46","18.1860465116279","0","27.8139534883721","age","30"
"Apr 7, 2017","0","69.3150684931507","22.6849315068493","0","0","age","30"
"Apr 8, 2017","0","92","0","0","0","age","30"
"Apr 9, 2017","0","39.4285714285714","0","0","52.5714285714286","age","30"
"Apr 10, 2017","0","30.2631578947368","41.1578947368421","0","20.5789473684211","age","30"
"Apr 11, 2017","0","41.1578947368421","50.8421052631579","0","0","age","30"
"Apr 12, 2017","0","36.3720930232558","55.6279069767442","0","0","age","30"
"Apr 13, 2017","0","39.2131147540984","25.6393442622951","0","27.1475409836066","age","30"
"Apr 14, 2017","0","34.8108108108108","34.8108108108108","0","22.3783783783784","age","30"
"Apr 15, 2017","0","39.6111111111111","52.3888888888889","0","0","age","30"
"Apr 16, 2017","0","45.4712643678161","23.264367816092","0","23.264367816092","age","30"
"Apr 17, 2017","0","46","27.4141414141414","0","18.5858585858586","age","30"
"Apr 18, 2017","0","57.8616352201258","24.3018867924528","0","9.83647798742138","age","30"
"Apr 19, 2017","0","49.4074074074074","28.1111111111111","0","14.4814814814815","age","30"
