date,hamon femme,macron femme,fillon femme,le pen mari,mélenchon femme,query,time
"Mar 22, 2017","12.974358974359","38.9230769230769","10.6153846153846","9.43589743589744","20.0512820512821","age","30"
"Mar 23, 2017","14.1538461538462","41.2820512820513","10.6153846153846","11.7948717948718","14.1538461538462","age","30"
"Mar 24, 2017","8.84615384615385","35.3846153846154","19.4615384615385","10.6153846153846","17.6923076923077","age","30"
"Mar 25, 2017","14.5263157894737","45.1929824561403","16.140350877193","4.84210526315789","11.2982456140351","age","30"
"Mar 26, 2017","8.36363636363636","19.2363636363636","5.85454545454545","46.8363636363636","11.7090909090909","age","30"
"Mar 27, 2017","17.1162790697674","38.5116279069767","6.41860465116279","12.8372093023256","17.1162790697674","age","30"
"Mar 28, 2017","11.5","40.25","13.4166666666667","15.3333333333333","11.5","age","30"
"Mar 29, 2017","14.72","47.84","12.88","7.36","9.2","age","30"
"Mar 30, 2017","17.037037037037","37.4814814814815","22.716049382716","6.81481481481481","7.95061728395062","age","30"
"Mar 31, 2017","16.2352941176471","41.4901960784314","12.6274509803922","9.01960784313725","12.6274509803922","age","30"
"Apr 1, 2017","12.2666666666667","55.2","8.58666666666667","8.58666666666667","7.36","age","30"
"Apr 2, 2017","8.625","47.4375","7.1875","12.9375","15.8125","age","30"
"Apr 3, 2017","7.66666666666667","53.6666666666667","5.75","7.66666666666667","17.25","age","30"
"Apr 4, 2017","17.5572519083969","41.4351145038168","9.12977099236641","11.9389312977099","11.9389312977099","age","30"
"Apr 5, 2017","8.49230769230769","48.1230769230769","8.49230769230769","8.49230769230769","18.4","age","30"
"Apr 6, 2017","5.63265306122449","58.2040816326531","8.44897959183674","6.57142857142857","13.1428571428571","age","30"
"Apr 7, 2017","9.43589743589744","49.5384615384615","7.07692307692308","7.07692307692308","18.8717948717949","age","30"
"Apr 8, 2017","11.9480519480519","40.6233766233766","7.16883116883117","5.97402597402597","26.2857142857143","age","30"
"Apr 9, 2017","7.40229885057471","40.183908045977","7.40229885057471","10.5747126436782","26.4367816091954","age","30"
"Apr 10, 2017","3.94285714285714","31.5428571428571","9.2","6.57142857142857","40.7428571428571","age","30"
"Apr 11, 2017","6.23728813559322","40.5423728813559","6.23728813559322","6.23728813559322","32.7457627118644","age","30"
"Apr 12, 2017","8.65882352941176","48.7058823529412","6.49411764705882","6.49411764705882","21.6470588235294","age","30"
"Apr 13, 2017","6.3013698630137","45.3698630136986","7.56164383561644","8.82191780821918","23.9452054794521","age","30"
"Apr 14, 2017","8.55813953488372","40.6511627906977","7.48837209302326","10.6976744186047","24.6046511627907","age","30"
"Apr 15, 2017","9.08641975308642","46.5679012345679","10.2222222222222","10.2222222222222","15.9012345679012","age","30"
"Apr 16, 2017","10.019801980198","44.6336633663366","6.37623762376238","9.10891089108911","21.8613861386139","age","30"
"Apr 17, 2017","4.15483870967742","59.3548387096774","4.74838709677419","7.12258064516129","16.6193548387097","age","30"
"Apr 18, 2017","5","50","8","15","14","age","30"
"Apr 19, 2017","6.65060240963855","49.8795180722892","6.65060240963855","14.4096385542169","14.4096385542169","age","30"
