date,hamon europe,macron europe,fillon europe,le pen europe,mélenchon europe,query,time
"Mar 22, 2017","10.9152542372881","12.4745762711864","27.2881355932203","11.6949152542373","29.6271186440678","age","30"
"Mar 23, 2017","9.48453608247423","24.659793814433","22.7628865979381","18.9690721649485","16.1237113402062","age","30"
"Mar 24, 2017","21.4137931034483","13.4827586206897","21.4137931034483","19.8275862068966","15.8620689655172","age","30"
"Mar 25, 2017","7.84496124031008","12.1240310077519","9.98449612403101","20.6821705426357","41.3643410852713","age","30"
"Mar 26, 2017","0","19.1666666666667","15.3333333333333","30.6666666666667","26.8333333333333","age","30"
"Mar 27, 2017","3.34545454545455","5.68727272727273","6.35636363636364","66.9090909090909","9.70181818181818","age","30"
"Mar 28, 2017","4.12820512820513","8.25641025641026","12.3846153846154","53.6666666666667","13.5641025641026","age","30"
"Mar 29, 2017","6.73170731707317","30.8536585365854","6.73170731707317","40.9512195121951","6.73170731707317","age","30"
"Mar 30, 2017","6.25850340136054","18.7755102040816","9.38775510204082","36.9251700680272","20.6530612244898","age","30"
"Mar 31, 2017","9.2","18.4","13.8","32.2","18.4","age","30"
"Apr 1, 2017","4.97297297297297","20.7207207207207","14.0900900900901","33.1531531531531","19.0630630630631","age","30"
"Apr 2, 2017","0","8.88275862068966","14.5931034482759","36.1655172413793","32.3586206896552","age","30"
"Apr 3, 2017","10.1098901098901","10.1098901098901","10.1098901098901","32.3516483516484","29.3186813186813","age","30"
"Apr 4, 2017","5.45762711864407","9.35593220338983","13.2542372881356","26.5084745762712","37.4237288135593","age","30"
"Apr 5, 2017","6.01869158878505","14.6168224299065","12.8971962616822","23.214953271028","35.2523364485981","age","30"
"Apr 6, 2017","3.80165289256198","7.60330578512397","25.0909090909091","25.0909090909091","30.4132231404959","age","30"
"Apr 7, 2017","5.79527559055118","17.3858267716535","26.8031496062992","7.24409448818898","34.7716535433071","age","30"
"Apr 8, 2017","13.65625","9.34375","15.8125","11.5","41.6875","age","30"
"Apr 9, 2017","4.8","12.8","15.2","12.8","46.4","age","30"
"Apr 10, 2017","9.35593220338983","5.45762711864407","9.35593220338983","11.6949152542373","56.135593220339","age","30"
"Apr 11, 2017","4.33962264150943","14.7547169811321","8.67924528301887","13.0188679245283","51.2075471698113","age","30"
"Apr 12, 2017","3.35766423357664","8.72992700729927","6.71532846715328","12.0875912408759","61.1094890510949","age","30"
"Apr 13, 2017","4.55445544554455","11.8415841584158","7.28712871287129","16.3960396039604","51.9207920792079","age","30"
"Apr 14, 2017","8.03174603174603","9.49206349206349","8.03174603174603","21.9047619047619","44.5396825396825","age","30"
"Apr 15, 2017","5.41176470588235","5.41176470588235","8.11764705882353","18.9411764705882","54.1176470588235","age","30"
"Apr 16, 2017","6.27272727272727","15.3333333333333","13.2424242424242","15.3333333333333","41.8181818181818","age","30"
"Apr 17, 2017","6.19230769230769","20.3461538461538","8.84615384615385","14.1538461538462","42.4615384615385","age","30"
"Apr 18, 2017","4.86772486772487","16.5502645502646","12.6560846560847","16.5502645502646","41.3756613756614","age","30"
"Apr 19, 2017","5.52","11.04","12.42","11.5","51.52","age","30"
