date,hamon 2017,macron 2017,fillon 2017,le pen 2017,mélenchon 2017,query,time
"Mar 22, 2017","5.38297872340426","21.0425531914894","27.4042553191489","23","15.1702127659574","age","30"
"Mar 23, 2017","6.05263157894737","21.1842105263158","24.2105263157895","23.6052631578947","16.9473684210526","age","30"
"Mar 24, 2017","5.29842931937173","16.3769633507853","41.4240837696335","16.3769633507853","12.5235602094241","age","30"
"Mar 25, 2017","7.16883116883117","18.5194805194805","30.4675324675325","20.3116883116883","15.5324675324675","age","30"
"Mar 26, 2017","7.85929648241206","17.5678391959799","21.2663316582915","25.8894472361809","19.4170854271357","age","30"
"Mar 27, 2017","8.36363636363636","19.1168831168831","26.8831168831169","21.5064935064935","16.1298701298701","age","30"
"Mar 28, 2017","6.57142857142857","19.7142857142857","28.9142857142857","24.9714285714286","11.8285714285714","age","30"
"Mar 29, 2017","8.15189873417722","19.2151898734177","23.873417721519","26.7848101265823","13.9746835443038","age","30"
"Mar 30, 2017","6.52903225806452","21.9612903225806","30.8645161290323","17.8064516129032","14.8387096774194","age","30"
"Mar 31, 2017","7.77464788732394","20.0845070422535","29.1549295774648","18.1408450704225","16.8450704225352","age","30"
"Apr 1, 2017","13.2576419213974","30.1310043668122","24.9082969432314","14.4628820960699","9.24017467248908","age","30"
"Apr 2, 2017","6.57142857142857","27.7142857142857","26.8571428571429","11.7142857142857","19.1428571428571","age","30"
"Apr 3, 2017","7.92344497607656","22.88995215311","27.7320574162679","14.5263157894737","18.9282296650718","age","30"
"Apr 4, 2017","9.51724137931035","27.192118226601","20.3940886699507","19.9408866995074","14.9556650246305","age","30"
"Apr 5, 2017","8.06185567010309","19.9175257731959","27.0309278350515","17.0721649484536","19.9175257731959","age","30"
"Apr 6, 2017","5.75","26.2857142857143","29.1607142857143","14.7857142857143","16.0178571428571","age","30"
"Apr 7, 2017","4.6","29.44","27.6","12.88","17.48","age","30"
"Apr 8, 2017","5.44086021505376","17.8064516129032","21.7634408602151","21.2688172043011","25.7204301075269","age","30"
"Apr 9, 2017","4.90666666666667","13.8","22.08","15.3333333333333","35.88","age","30"
"Apr 10, 2017","4.96265560165975","15.2697095435685","22.1410788381743","15.2697095435685","34.356846473029","age","30"
"Apr 11, 2017","7.76888888888889","18.4","23.3066666666667","17.9911111111111","24.5333333333333","age","30"
"Apr 12, 2017","6.72146118721461","18.9041095890411","23.1050228310502","13.4429223744292","29.8264840182648","age","30"
"Apr 13, 2017","5.8974358974359","15.7264957264957","20.4444444444444","17.6923076923077","32.2393162393162","age","30"
"Apr 14, 2017","4.68518518518519","17.8888888888889","23.4259259259259","22.5740740740741","23.4259259259259","age","30"
"Apr 15, 2017","4","22.4","22.8","18.4","24.4","age","30"
"Apr 16, 2017","3.84668989547038","16.9895470383275","18.5923344947735","16.0278745644599","36.5435540069686","age","30"
"Apr 17, 2017","4.72432432432432","24.8648648648649","19.6432432432432","19.1459459459459","23.6216216216216","age","30"
"Apr 18, 2017","6.15384615384615","18.7692307692308","19.6923076923077","27.3846153846154","20","age","30"
"Apr 19, 2017","7.54098360655738","19.6065573770492","21.416393442623","24.1311475409836","19.3049180327869","age","30"
