date,hamon économique,macron économique,fillon économique,le pen économique,mélenchon économique,query,time
"Mar 22, 2017","0","31.3191489361702","60.6808510638298","0","0","age","30"
"Mar 23, 2017","0","38.3333333333333","30.6666666666667","0","23","age","30"
"Mar 24, 2017","0","23.3432835820896","34.3283582089552","0","34.3283582089552","age","30"
"Mar 25, 2017","0","0","36.6122448979592","0","55.3877551020408","age","30"
"Mar 26, 2017","0","30.6666666666667","40.8888888888889","0","20.4444444444444","age","30"
"Mar 27, 2017","0","0","0","0","92","age","30"
"Mar 28, 2017","0","18.4","18.4","0","55.2","age","30"
"Mar 29, 2017","0","46","46","0","0","age","30"
"Mar 30, 2017","0","61.3333333333333","0","0","30.6666666666667","age","30"
"Mar 31, 2017","0","30.6666666666667","46","0","15.3333333333333","age","30"
"Apr 1, 2017","0","92","0","0","0","age","30"
"Apr 2, 2017","0","27.7916666666667","36.4166666666667","0","27.7916666666667","age","30"
"Apr 3, 2017","0","18.1728395061728","18.1728395061728","0","55.6543209876543","age","30"
"Apr 4, 2017","0","55.2","36.8","0","0","age","30"
"Apr 5, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","30"
"Apr 6, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","30"
"Apr 7, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","30"
"Apr 8, 2017","0","37.4814814814815","0","0","54.5185185185185","age","30"
"Apr 9, 2017","0","0","31.1384615384615","0","60.8615384615385","age","30"
"Apr 10, 2017","0","23.3432835820896","23.3432835820896","0","45.3134328358209","age","30"
"Apr 11, 2017","0","26.2857142857143","13.1428571428571","0","52.5714285714286","age","30"
"Apr 12, 2017","0","0","0","0","92","age","30"
"Apr 13, 2017","0","0","0","0","92","age","30"
"Apr 14, 2017","0","46","23","0","23","age","30"
"Apr 15, 2017","0","50.1818181818182","16.7272727272727","0","25.0909090909091","age","30"
"Apr 16, 2017","0","46","0","0","46","age","30"
"Apr 17, 2017","0","26.1897810218978","13.4306569343066","0","52.3795620437956","age","30"
"Apr 18, 2017","0","24.6829268292683","24.6829268292683","0","42.6341463414634","age","30"
"Apr 19, 2017","0","23.8363636363636","27.1818181818182","0","40.9818181818182","age","30"
