date,hamon TOPIC0,macron TOPIC0,fillon TOPIC0,le pen TOPIC0,mélenchon TOPIC0,query,time
"Mar 22, 2017","4.75109051845743","38.9349249383567","25.3303450117509","10.2371078335134","12.7465316979216","age","30"
"Mar 23, 2017","15.296096206268","26.99670332892","19.9971234302271","9.58209544725163","20.1279815873332","age","30"
"Mar 24, 2017","3.45638515488019","21.474098697462","27.0635316259148","13.268399849712","15.237584672031","age","30"
"Mar 25, 2017","1.97299303639469","25.2692147131544","21.5217164079234","10.6388922731453","21.0971835693822","age","30"
"Mar 26, 2017","2.30411449016101","42.1154785162818","20.8444439120311","8.97644603458557","17.7595170469405","age","30"
"Mar 27, 2017","7.66872294372294","29.4235714285714","17.4617532467533","16.0541125541125","21.3918398268398","age","30"
"Mar 28, 2017","8.02544256569025","18.957848466685","18.7055606025333","16.922149122807","29.3889992422844","age","30"
"Mar 29, 2017","3.29479674796748","40.5620014347202","17.9110712577714","14.8510593017695","15.3810712577714","age","30"
"Mar 30, 2017","7.97237531376187","30.3541088929744","20.5969662340461","11.7937508336668","21.2827987255508","age","30"
"Mar 31, 2017","5.11447368421053","25.0990215924427","22.1531488978858","14.4769118308592","13.6564439946019","age","30"
"Apr 1, 2017","4.92067203357525","35.2002533787851","10.0969490625219","18.5425102941232","11.7396152309945","age","30"
"Apr 2, 2017","4.89798850574713","28.5167744252874","10.7325431034483","14.9344827586207","32.9182112068966","age","30"
"Apr 3, 2017","14.6804029304029","24.674577313119","17.6068689797856","14.1543727106227","20.8837780660697","age","30"
"Apr 4, 2017","5.25375564709705","27.8812325111357","18.0089854052324","15.2680555925108","25.5879708440241","age","30"
"Apr 5, 2017","3.84090787716956","34.3984204181627","16.6393478683552","9.90044058744992","15.7208832488626","age","30"
"Apr 6, 2017","3.26291373203599","21.841564887568","38.7288051496753","10.7950477683236","17.3716684623971","age","30"
"Apr 7, 2017","4.75516341707287","41.3463420668307","19.6084307740642","9.29043244594426","16.999631296088","age","30"
"Apr 8, 2017","2.41472355769231","30.4012308582621","8.50305822649572","5.72788461538461","33.4531027421652","age","30"
"Apr 9, 2017","1.14117647058824","18.5038810260946","18.1058525839486","9.00379256965944","45.2452973497091","age","30"
"Apr 10, 2017","8.91280500207054","22.5351444177977","15.7209068373915","8.43602913094439","36.3951146117958","age","30"
"Apr 11, 2017","7.28437261212015","27.1320532115203","14.2553390452414","9.62899400458472","33.6992411265335","age","30"
"Apr 12, 2017","4.06037872800731","29.2161445091009","13.7083004040227","6.05027650257662","38.9648998562924","age","30"
"Apr 13, 2017","4.15984344336073","18.0241415534996","11.8275577557756","6.36011101110111","40.128346236263","age","30"
"Apr 14, 2017","6.27974528828728","28.7638693217854","17.0142626947505","7.67899580094703","32.2631268942298","age","30"
"Apr 15, 2017","3.11586452762923","30.7593155472595","14.1845291146762","6.66562685680332","37.2746639536318","age","30"
"Apr 16, 2017","5.92731503577512","26.4879875119705","14.1896573133328","8.37133364824436","37.0237064906772","age","30"
"Apr 17, 2017","6.30069149358335","35.2989054470943","10.5345765206562","8.9750938113318","30.8907327273344","age","30"
"Apr 18, 2017","2.10284168362771","21.2526730947072","15.937061376391","13.7677542213568","27.4396696239172","age","30"
"Apr 19, 2017","4.69794305643708","29.277104228483","17.7791943131622","10.0110932401157","30.2346651618021","age","30"
