date,hamon TOPIC,macron TOPIC,fillon TOPIC,le pen TOPIC,mélenchon TOPIC,query,time
"Mar 22, 2017","9.50218103691485","24.0400626426708","20.157143924211","20.4742156670269","17.8263967291765","age","30"
"Mar 23, 2017","8.43365582717021","28.1607325202878","16.7415551443479","19.1641908945033","19.4998656136908","age","30"
"Mar 24, 2017","6.91277030976038","19.4790431660683","24.8449736995909","26.5367996994239","14.2264131251565","age","30"
"Mar 25, 2017","3.94598607278938","19.8717627596421","26.2237049246903","21.2777845462906","20.6807616965875","age","30"
"Mar 26, 2017","4.60822898032202","25.4215488968396","21.3567754919499","17.9528920691711","22.6605545617174","age","30"
"Mar 27, 2017","9.58744588744588","18.5971428571429","17.6735064935065","32.1082251082251","14.0336796536796","age","30"
"Mar 28, 2017","10.3008851313805","16.9701913153926","18.7914582837183","33.844298245614","12.0931670238946","age","30"
"Mar 29, 2017","6.58959349593497","33.7440028694405","14.2021425155428","29.702118603539","7.7621425155428","age","30"
"Mar 30, 2017","8.27808396085707","26.060781888513","14.5080350321947","23.5875016673336","19.5655974511017","age","30"
"Mar 31, 2017","4.47894736842105","24.1919028340081","20.7615609536663","28.9538236617184","13.6137651821862","age","30"
"Apr 1, 2017","9.84134406715051","22.9464837690644","15.1709096192967","37.0850205882463","6.95624195624197","age","30"
"Apr 2, 2017","4.04597701149426","21.335632183908","12.3609195402299","29.8689655172414","24.3885057471264","age","30"
"Apr 3, 2017","6.36080586080586","17.9726114163614","19.1705280830281","28.3087454212454","20.1873092185592","age","30"
"Apr 4, 2017","3.3984203851032","23.9222520820584","19.7088799013738","30.5361111850216","14.434336446443","age","30"
"Apr 5, 2017","7.68181575433911","32.3713484646195","13.0814419225634","19.8008811748998","19.0645126835781","age","30"
"Apr 6, 2017","6.52582746407198","24.5164631084694","19.2444320047769","21.5900955366472","20.1231818860346","age","30"
"Apr 7, 2017","9.51032683414573","25.497250343707","16.6789620047494","18.5808648918885","21.7325959255093","age","30"
"Apr 8, 2017","4.82944711538461","28.4320913461539","17.0061164529914","11.4557692307692","30.2765758547009","age","30"
"Apr 9, 2017","2.28235294117647","17.9506191950464","16.9270897832817","18.0075851393189","36.8323529411765","age","30"
"Apr 10, 2017","8.62561000414107","15.7704328523538","10.7165190950502","16.8720582618888","40.0153797865662","age","30"
"Apr 11, 2017","6.90207855757362","22.0698708340681","12.514437488979","19.2579880091694","31.2556251102098","age","30"
"Apr 12, 2017","8.12075745601463","18.5767657623879","13.5096240638593","12.1005530051532","39.6922997125849","age","30"
"Apr 13, 2017","3.22952295229523","21.1548404840484","12.1551155115511","12.7202220222022","42.740299029903","age","30"
"Apr 14, 2017","6.86037553232675","18.0565993626969","11.9091560201316","15.3579916018941","39.8158774829506","age","30"
"Apr 15, 2017","6.23172905525846","18.3125371360665","11.0900178253119","13.3312537136066","43.0344622697564","age","30"
"Apr 16, 2017","7.19986816678834","20.9332955440088","13.258187543837","16.7426672964887","33.8659814488771","age","30"
"Apr 17, 2017","4.12718191645365","31.8226420534676","7.04388310244154","17.9501876226636","31.0561053049736","age","30"
"Apr 18, 2017","4.20568336725542","21.869205677066","11.8616855811179","27.5355084427137","26.5279169318471","age","30"
"Apr 19, 2017","6.07366389065194","22.0988212515787","15.2184896364254","20.0221864802313","28.5868387411126","age","30"
