date,hamon présidentiel,macron présidentiel,fillon présidentiel,le pen présidentiel,mélenchon présidentiel,query,time
"Mar 22, 2017","7.16883116883117","28.6753246753247","17.9220779220779","23.8961038961039","14.3376623376623","age","30"
"Mar 23, 2017","9.6","24.8","14.4","23.2","20","age","30"
"Mar 24, 2017","13.65625","23","18.6875","27.3125","9.34375","age","30"
"Mar 25, 2017","11.7948717948718","17.2991452991453","23.5897435897436","27.5213675213675","11.7948717948718","age","30"
"Mar 26, 2017","11.404958677686","23.5702479338843","11.404958677686","22.0495867768595","23.5702479338843","age","30"
"Mar 27, 2017","3.87368421052632","10.0070175438597","10.0070175438597","60.0421052631579","8.07017543859649","age","30"
"Mar 28, 2017","8.17777777777778","0","8.17777777777778","59.2888888888889","16.3555555555556","age","30"
"Mar 29, 2017","0","33.8235294117647","0","32.4705882352941","25.7058823529412","age","30"
"Mar 30, 2017","0","42.1666666666667","16.6111111111111","0","33.2222222222222","age","30"
"Mar 31, 2017","30.6666666666667","61.3333333333333","0","0","0","age","30"
"Apr 1, 2017","10.1470588235294","14.8823529411765","19.6176470588235","27.7352941176471","19.6176470588235","age","30"
"Apr 2, 2017","11.8965517241379","11.8965517241379","23","22.2068965517241","23","age","30"
"Apr 3, 2017","11.8709677419355","18.7956989247312","24.7311827956989","11.8709677419355","24.7311827956989","age","30"
"Apr 4, 2017","17.2932330827068","17.2932330827068","25.593984962406","23.5187969924812","8.30075187969925","age","30"
"Apr 5, 2017","18.0771929824561","32.280701754386","10.0070175438597","19.3684210526316","12.2666666666667","age","30"
"Apr 6, 2017","18.6875","24.9166666666667","12.4583333333333","23.4791666666667","12.4583333333333","age","30"
"Apr 7, 2017","8.52980132450331","24.9801324503311","25.5894039735099","24.3708609271523","8.52980132450331","age","30"
"Apr 8, 2017","0","31.5068493150685","0","60.4931506849315","0","age","30"
"Apr 9, 2017","6.43621399176955","6.05761316872428","24.9876543209877","42.0246913580247","12.4938271604938","age","30"
"Apr 10, 2017","15.6071428571429","0","0","34.5","41.8928571428571","age","30"
"Apr 11, 2017","18.6875","23","9.34375","27.3125","13.65625","age","30"
"Apr 12, 2017","0","26.5777777777778","26.5777777777778","15.8444444444444","23","age","30"
"Apr 13, 2017","7.66666666666667","19.4615384615385","19.4615384615385","18.2820512820513","27.1282051282051","age","30"
"Apr 14, 2017","12.9447236180905","25.427135678392","6.47236180904523","21.7286432160804","25.427135678392","age","30"
"Apr 15, 2017","7.79661016949153","20.271186440678","7.79661016949153","16.1129943502825","40.0225988700565","age","30"
"Apr 16, 2017","19.1016949152542","19.1016949152542","19.1016949152542","15.5932203389831","19.1016949152542","age","30"
"Apr 17, 2017","12.4324324324324","27.7657657657658","18.6486486486486","14.5045045045045","18.6486486486486","age","30"
"Apr 18, 2017","13.5384615384615","23.0769230769231","11.6923076923077","30.1538461538462","13.5384615384615","age","30"
"Apr 19, 2017","14.1538461538462","25.7004048582996","16.3886639676113","26.4453441295547","9.31174089068826","age","30"
