date,hamon justice,macron justice,fillon justice,le pen justice,mélenchon justice,query,time
"Mar 22, 2017","9.24867724867725","9.24867724867725","32.1269841269841","18.4973544973545","22.8783068783069","age","30"
"Mar 23, 2017","8.24528301886792","12.5849056603774","16.4905660377358","16.9245283018868","37.7547169811321","age","30"
"Mar 24, 2017","0","48.4210526315789","19.3684210526316","14.5263157894737","9.68421052631579","age","30"
"Mar 25, 2017","0","18.2413793103448","37.2758620689655","18.2413793103448","18.2413793103448","age","30"
"Mar 26, 2017","0","0","46","46","0","age","30"
"Mar 27, 2017","0","18.2083333333333","37.375","18.2083333333333","18.2083333333333","age","30"
"Mar 28, 2017","10.7239263803681","37.8159509202454","21.4478527607362","22.0122699386503","0","age","30"
"Mar 29, 2017","18.5858585858586","36.2424242424242","18.5858585858586","18.5858585858586","0","age","30"
"Mar 30, 2017","0","39.6111111111111","39.6111111111111","12.7777777777778","0","age","30"
"Mar 31, 2017","22.716049382716","46.5679012345679","22.716049382716","0","0","age","30"
"Apr 1, 2017","18.4","18.4","18.4","18.4","18.4","age","30"
"Apr 2, 2017","23","23","46","0","0","age","30"
"Apr 3, 2017","0","45.4177215189873","0","23.2911392405063","23.2911392405063","age","30"
"Apr 4, 2017","0","46","46","0","0","age","30"
"Apr 5, 2017","15.4621848739496","15.4621848739496","30.1512605042017","15.4621848739496","15.4621848739496","age","30"
"Apr 6, 2017","0","46","30.9180327868852","0","15.0819672131148","age","30"
"Apr 7, 2017","0","18.0560747663551","55.8878504672897","0","18.0560747663551","age","30"
"Apr 8, 2017","0","46","46","0","0","age","30"
"Apr 9, 2017","0","0","46","0","46","age","30"
"Apr 10, 2017","0","61.3333333333333","30.6666666666667","0","0","age","30"
"Apr 11, 2017","0","28.3076923076923","21.2307692307692","0","42.4615384615385","age","30"
"Apr 12, 2017","0","13.9393939393939","35.5454545454545","13.9393939393939","28.5757575757576","age","30"
"Apr 13, 2017","18.5769230769231","36.2692307692308","18.5769230769231","18.5769230769231","0","age","30"
"Apr 14, 2017","13.2287581699346","13.2287581699346","25.8562091503268","13.2287581699346","26.4575163398693","age","30"
"Apr 15, 2017","0","26.2857142857143","0","39.4285714285714","26.2857142857143","age","30"
"Apr 16, 2017","0","92","0","0","0","age","30"
"Apr 17, 2017","0","39.7530864197531","26.1234567901235","26.1234567901235","0","age","30"
"Apr 18, 2017","0","25.3211009174312","32.9174311926606","0","33.7614678899083","age","30"
"Apr 19, 2017","18.4","18.4","18.4","0","36.8","age","30"
