date,hamon retraite,macron retraite,fillon retraite,le pen retraite,mélenchon retraite,query,time
"Mar 22, 2017","10.3661971830986","22.0281690140845","25.9154929577465","19.4366197183099","14.2535211267606","age","30"
"Mar 23, 2017","3.58441558441558","43.012987012987","14.3376623376623","15.5324675324675","15.5324675324675","age","30"
"Mar 24, 2017","3.89830508474576","28.0677966101695","49.1186440677966","4.67796610169492","6.23728813559322","age","30"
"Mar 25, 2017","5.6","30.4","39.2","5.6","11.2","age","30"
"Mar 26, 2017","4.27906976744186","36.3720930232558","31.0232558139535","12.8372093023256","7.48837209302326","age","30"
"Mar 27, 2017","5.33333333333333","30.6666666666667","34.6666666666667","13.3333333333333","8","age","30"
"Mar 28, 2017","7.66666666666667","38.3333333333333","30.6666666666667","11.5","3.83333333333333","age","30"
"Mar 29, 2017","3.68","46.6133333333333","25.76","8.58666666666667","7.36","age","30"
"Mar 30, 2017","8.36363636363636","44.9545454545455","20.9090909090909","11.5","6.27272727272727","age","30"
"Mar 31, 2017","8.71578947368421","38.7368421052632","20.3368421052632","16.4631578947368","7.74736842105263","age","30"
"Apr 1, 2017","8.76190476190476","35.047619047619","18.4","21.0285714285714","8.76190476190476","age","30"
"Apr 2, 2017","6.66666666666667","37.3333333333333","25.3333333333333","4","18.6666666666667","age","30"
"Apr 3, 2017","3.83333333333333","27.7916666666667","26.8333333333333","21.0833333333333","12.4583333333333","age","30"
"Apr 4, 2017","8.13605442176871","33.7959183673469","19.4013605442177","18.1496598639456","12.5170068027211","age","30"
"Apr 5, 2017","8.28","29.44","23","16.56","14.72","age","30"
"Apr 6, 2017","3.58441558441558","35.8441558441558","28.6753246753247","3.58441558441558","20.3116883116883","age","30"
"Apr 7, 2017","6.38888888888889","40.8888888888889","14.0555555555556","10.2222222222222","20.4444444444444","age","30"
"Apr 8, 2017","5.66153846153846","35.3846153846154","11.3230769230769","11.3230769230769","28.3076923076923","age","30"
"Apr 9, 2017","4.32941176470588","29.2235294117647","22.7294117647059","12.9882352941176","22.7294117647059","age","30"
"Apr 10, 2017","5.57575757575758","34.3838383838384","13.9393939393939","17.6565656565657","20.4444444444444","age","30"
"Apr 11, 2017","3.45","31.05","20.7","9.2","27.6","age","30"
"Apr 12, 2017","6.06593406593407","37.4065934065934","24.2637362637363","3.03296703296703","21.2307692307692","age","30"
"Apr 13, 2017","0","37","26","8","21","age","30"
"Apr 14, 2017","5.60975609756098","34.780487804878","25.8048780487805","11.219512195122","14.5853658536585","age","30"
"Apr 15, 2017","10.2222222222222","26.9494949494949","26.9494949494949","10.2222222222222","17.6565656565657","age","30"
"Apr 16, 2017","6.3448275862069","30.1379310344828","19.8275862068966","7.93103448275862","27.7586206896552","age","30"
"Apr 17, 2017","4.62569832402235","51.3966480446927","10.7932960893855","10.7932960893855","14.391061452514","age","30"
"Apr 18, 2017","4.18181818181818","39.030303030303","18.8181818181818","13.2424242424242","16.7272727272727","age","30"
"Apr 19, 2017","5.20754716981132","32.4025157232704","30.6666666666667","5.78616352201258","17.937106918239","age","30"
