date,hamon TOTAL0,macron TOTAL0,fillon TOTAL0,le pen TOTAL0,mélenchon TOTAL0,query,time
"Mar 22, 2017","6.97367287714569","29.7344578263967","21.5664839736892","14.3615114443153","19.363873878453","age","30"
"Mar 23, 2017","10.2375598335296","25.4605086273796","22.9525967366105","13.7606516136026","19.5886831888777","age","30"
"Mar 24, 2017","4.7737940642296","21.9429563279553","33.496670333246","14.6217700457936","12.9829910469573","age","30"
"Mar 25, 2017","5.09681506158481","22.701554457804","26.288517905897","13.492721460786","20.23857293211","age","30"
"Mar 26, 2017","4.67284702465462","27.6171250776647","21.0052899992814","16.7439782601313","21.960759638268","age","30"
"Mar 27, 2017","7.41540644515833","25.4589620054925","17.7367644342329","20.5083378981762","20.8805292169401","age","30"
"Mar 28, 2017","7.83956954683137","20.0844958897317","19.4885699349868","25.4781514517572","19.1092131766929","age","30"
"Mar 29, 2017","7.1508157963002","31.6184887566351","15.4657357044705","19.3844930305363","18.3804667120579","age","30"
"Mar 30, 2017","7.1816079839408","28.3814580896821","22.5391225130963","14.8503126213297","19.047498791951","age","30"
"Mar 31, 2017","8.24805097735236","27.8795326599672","20.1650920586619","17.2433469727345","14.2821591494658","age","30"
"Apr 1, 2017","8.56156254943254","31.6800899735505","13.6188209347381","18.3296819871591","15.6280263733015","age","30"
"Apr 2, 2017","5.85418551721795","27.2833621244588","15.6852231649053","16.74754374854","26.4296854448779","age","30"
"Apr 3, 2017","10.0588641011801","24.6468683737627","17.0333948983422","17.9996933414802","22.2611792852347","age","30"
"Apr 4, 2017","8.50949218766416","26.1787989692008","19.7439200973412","16.7800754219508","20.787713323843","age","30"
"Apr 5, 2017","6.18451875239116","27.8263885710712","17.9476120320997","15.4603395175462","20.3993229450736","age","30"
"Apr 6, 2017","5.87347414848435","27.5047356451247","28.9249195945283","12.9818890027758","16.7149816090869","age","30"
"Apr 7, 2017","5.15210360491844","34.7080320109619","22.4464124562491","12.5511126528386","17.1423392750319","age","30"
"Apr 8, 2017","3.83011086608759","29.1551375124423","13.5367104195603","14.4669654796517","26.8292575404399","age","30"
"Apr 9, 2017","3.36130981739719","17.5310052524029","18.5318930166191","14.5952780539399","37.9805138596409","age","30"
"Apr 10, 2017","6.34528682941165","21.7446535906981","15.2838570113558","13.4405818349868","35.1856207335476","age","30"
"Apr 11, 2017","7.1173168569108","24.0163238381582","15.2269773591833","14.8352336647447","30.804148281003","age","30"
"Apr 12, 2017","4.92432469668311","25.7263967963871","15.4736939001706","12.136332023559","33.7392525832002","age","30"
"Apr 13, 2017","5.81847140403169","21.4730371402371","12.4983969424933","13.6143610372728","34.4139152941469","age","30"
"Apr 14, 2017","5.95012436994266","21.6316850330644","16.1268988131114","15.137548148359","33.1537436355226","age","30"
"Apr 15, 2017","4.83044000391324","24.8893531534407","13.5777904643885","16.684423155691","32.0179932225666","age","30"
"Apr 16, 2017","6.85921414600853","25.6869033747203","14.5458567836119","12.4528748095854","32.4551508860738","age","30"
"Apr 17, 2017","5.62503853717208","31.8799968760513","13.1483726186364","14.2807974079525","27.0657945601877","age","30"
"Apr 18, 2017","4.04048838641598","22.3660928150529","17.5074591043152","18.3516946920913","25.5524468203064","age","30"
"Apr 19, 2017","6.37317858363589","25.6387594851013","15.5421707364594","16.9727939899134","27.4730972048899","age","30"
