date,hamon culture,macron culture,fillon culture,le pen culture,mélenchon culture,query,time
"Mar 22, 2017","33.7333333333333","25.5555555555556","16.3555555555556","0","16.3555555555556","age","30"
"Mar 23, 2017","26.5084745762712","26.5084745762712","25.728813559322","0","13.2542372881356","age","30"
"Mar 24, 2017","15.0384615384615","30.9615384615385","46","0","0","age","30"
"Mar 25, 2017","14.0458015267176","14.0458015267176","28.793893129771","0","35.1145038167939","age","30"
"Mar 26, 2017","0","18.2820512820513","12.3846153846154","0","61.3333333333333","age","30"
"Mar 27, 2017","0","46","0","0","46","age","30"
"Mar 28, 2017","18.6190476190476","36.1428571428571","18.6190476190476","0","18.6190476190476","age","30"
"Mar 29, 2017","23","23","0","0","46","age","30"
"Mar 30, 2017","0","46","46","0","0","age","30"
"Mar 31, 2017","15.4766355140187","30.0934579439252","15.4766355140187","0","30.9532710280374","age","30"
"Apr 1, 2017","30.6666666666667","30.6666666666667","0","0","30.6666666666667","age","30"
"Apr 2, 2017","0","51.1111111111111","10.2222222222222","0","30.6666666666667","age","30"
"Apr 3, 2017","14.2181818181818","14.2181818181818","20.9090909090909","0","42.6545454545455","age","30"
"Apr 4, 2017","15.3333333333333","30.6666666666667","15.3333333333333","0","30.6666666666667","age","30"
"Apr 5, 2017","0","36.8","18.4","0","36.8","age","30"
"Apr 6, 2017","28.551724137931","14.2758620689655","34.8965517241379","0","14.2758620689655","age","30"
"Apr 7, 2017","20.8095238095238","40.5238095238095","30.6666666666667","0","0","age","30"
"Apr 8, 2017","0","36.6371681415929","18.7256637168142","0","36.6371681415929","age","30"
"Apr 9, 2017","0","28.3561643835616","21.4246575342466","0","42.2191780821918","age","30"
"Apr 10, 2017","8.59340659340659","30.8351648351648","8.59340659340659","0","43.978021978022","age","30"
"Apr 11, 2017","23","23","23","0","23","age","30"
"Apr 12, 2017","0","36.5909090909091","18.8181818181818","0","36.5909090909091","age","30"
"Apr 13, 2017","15.3333333333333","30.6666666666667","0","0","46","age","30"
"Apr 14, 2017","0","0","46","0","46","age","30"
"Apr 15, 2017","21.7078651685393","37.7303370786517","0","0","32.561797752809","age","30"
"Apr 16, 2017","31.1278195488722","15.218045112782","15.218045112782","0","30.4360902255639","age","30"
"Apr 17, 2017","17.5441860465116","17.5441860465116","17.5441860465116","0","39.3674418604651","age","30"
"Apr 18, 2017","0","20.3116883116883","31.0649350649351","0","40.6233766233766","age","30"
"Apr 19, 2017","0","20.4444444444444","20.4444444444444","0","51.1111111111111","age","30"
