date,hamon,macron,fillon,le pen,mélenchon,query,time
"Mar 22, 2017","5.31791907514451","20.2080924855491","27.6531791907514","20.2080924855491","18.6127167630058","nom","30"
"Mar 23, 2017","5.44378698224852","23.4082840236686","27.2189349112426","21.2307692307692","14.698224852071","nom","30"
"Mar 24, 2017","4.14","15.18","46","17.48","9.2","nom","30"
"Mar 25, 2017","5.27388535031847","19.3375796178344","36.9171974522293","18.7515923566879","11.7197452229299","nom","30"
"Mar 26, 2017","5.88372093023256","17.1162790697674","26.2093023255814","23","19.7906976744186","nom","30"
"Mar 27, 2017","9.81333333333333","20.24","23.92","23.92","14.1066666666667","nom","30"
"Mar 28, 2017","6.17073170731707","16.8292682926829","30.8536585365854","28.0487804878049","10.0975609756098","nom","30"
"Mar 29, 2017","8.90322580645161","23.1483870967742","24.9290322580645","23.741935483871","11.2774193548387","nom","30"
"Mar 30, 2017","8.85925925925926","21.8074074074074","24.5333333333333","22.4888888888889","14.3111111111111","nom","30"
"Mar 31, 2017","5.84126984126984","22.6349206349206","25.5555555555556","24.0952380952381","13.8730158730159","nom","30"
"Apr 1, 2017","7.07692307692308","33.4545454545455","19.3006993006993","20.5874125874126","11.5804195804196","nom","30"
"Apr 2, 2017","6.1744966442953","25.3154362416107","17.9060402684564","24.0805369127517","18.5234899328859","nom","30"
"Apr 3, 2017","9.65034965034965","20.5874125874126","24.4475524475524","23.8041958041958","13.5104895104895","nom","30"
"Apr 4, 2017","9.85714285714286","23","18.6190476190476","25.7380952380952","14.7857142857143","nom","30"
"Apr 5, 2017","6.70198675496689","20.1059602649007","21.9337748344371","25.5894039735099","17.6688741721854","nom","30"
"Apr 6, 2017","4.62569832402235","27.2402234636872","30.3240223463687","16.9608938547486","12.8491620111732","nom","30"
"Apr 7, 2017","4.54945054945055","30.3296703296703","27.2967032967033","15.6703296703297","14.1538461538462","nom","30"
"Apr 8, 2017","5.01818181818182","19.5151515151515","18.9575757575758","28.4363636363636","20.0727272727273","nom","30"
"Apr 9, 2017","4.38095238095238","15.3333333333333","18.4","22.7809523809524","31.1047619047619","nom","30"
"Apr 10, 2017","4.06629834254144","16.2651933701657","21.3480662983425","20.8397790055249","29.4806629834254","nom","30"
"Apr 11, 2017","7.20481927710843","17.1807228915663","20.5060240963855","22.1686746987952","24.9397590361446","nom","30"
"Apr 12, 2017","6.38150289017341","21.271676300578","17.0173410404624","18.0809248554913","29.2485549132948","nom","30"
"Apr 13, 2017","4.89940828402367","19.5976331360947","15.7869822485207","20.1420118343195","31.5739644970414","nom","30"
"Apr 14, 2017","4.79166666666667","16.7708333333333","16.7708333333333","28.75","24.9166666666667","nom","30"
"Apr 15, 2017","5.13966480446927","18.5027932960894","19.0167597765363","24.1564245810056","25.1843575418994","nom","30"
"Apr 16, 2017","5.08542713567839","19.8793969849246","16.643216080402","19.8793969849246","30.5125628140703","nom","30"
"Apr 17, 2017","4.26254826254826","31.969111969112","15.2741312741313","20.2471042471042","20.2471042471042","nom","30"
"Apr 18, 2017","4.90666666666667","19.6266666666667","17.9911111111111","28.6222222222222","20.8533333333333","nom","30"
"Apr 19, 2017","6.59915611814346","19.7974683544304","17.4683544303797","29.8902953586498","18.2447257383966","nom","30"
