class,number
hamon WEB_BEST_TOPIC0,6.2
macron WEB_BEST_TOPIC0,22.3
fillon WEB_BEST_TOPIC0,19.3
le pen WEB_BEST_TOPIC0,18.6
mélenchon WEB_BEST_TOPIC0,24.5
