date,hamon youtube,macron youtube,fillon youtube,le pen youtube,mélenchon youtube,query,time
"Dec 22, 2016","0","17.25","8.625","48.875","17.25","age","120"
"Dec 23, 2016","6.3448275862069","15.8620689655172","6.3448275862069","41.2413793103448","22.2068965517241","age","120"
"Dec 24, 2016","4.18181818181818","18.8181818181818","8.36363636363636","33.4545454545455","27.1818181818182","age","120"
"Dec 25, 2016","7.36","11.04","7.36","40.48","25.76","age","120"
"Dec 26, 2016","0","11.04","11.04","51.52","18.4","age","120"
"Dec 27, 2016","5.75","14.375","5.75","34.5","31.625","age","120"
"Dec 28, 2016","4.6","4.6","6.9","32.2","43.7","age","120"
"Dec 29, 2016","14.5263157894737","9.68421052631579","14.5263157894737","14.5263157894737","38.7368421052632","age","120"
"Dec 30, 2016","0","14.375","8.625","23","46","age","120"
"Dec 31, 2016","0","0","12.5454545454545","54.3636363636364","25.0909090909091","age","120"
"Jan 1, 2017","3.91489361702128","13.7021276595745","15.6595744680851","33.2765957446809","25.4468085106383","age","120"
"Jan 2, 2017","0","9.94594594594595","4.97297297297297","27.3513513513514","49.7297297297297","age","120"
"Jan 3, 2017","5.25714285714286","0","5.25714285714286","68.3428571428571","13.1428571428571","age","120"
"Jan 4, 2017","15.8620689655172","6.3448275862069","12.6896551724138","25.3793103448276","31.7241379310345","age","120"
"Jan 5, 2017","0","13.5294117647059","13.5294117647059","27.0588235294118","37.8823529411765","age","120"
"Jan 6, 2017","4.97297297297297","7.45945945945946","14.9189189189189","24.8648648648649","39.7837837837838","age","120"
"Jan 7, 2017","0","13.6296296296296","13.6296296296296","37.4814814814815","27.2592592592593","age","120"
"Jan 8, 2017","0","18","6","30","38","age","120"
"Jan 9, 2017","10.5142857142857","7.88571428571429","7.88571428571429","18.4","47.3142857142857","age","120"
"Jan 10, 2017","3.28571428571429","6.57142857142857","6.57142857142857","32.8571428571429","42.7142857142857","age","120"
"Jan 11, 2017","7.82978723404255","15.6595744680851","5.87234042553191","27.4042553191489","35.2340425531915","age","120"
"Jan 12, 2017","2.55555555555556","5.11111111111111","7.66666666666667","35.7777777777778","40.8888888888889","age","120"
"Jan 13, 2017","4.71794871794872","11.7948717948718","7.07692307692308","28.3076923076923","40.1025641025641","age","120"
"Jan 14, 2017","6.76470588235294","14.8823529411765","6.76470588235294","27.0588235294118","36.5294117647059","age","120"
"Jan 15, 2017","6.81481481481481","18.7407407407407","8.51851851851852","20.4444444444444","37.4814814814815","age","120"
"Jan 16, 2017","2","18","6","28","38","age","120"
"Jan 17, 2017","3.47169811320755","15.622641509434","15.622641509434","26.0377358490566","31.2452830188679","age","120"
"Jan 18, 2017","14.5263157894737","12.1052631578947","9.68421052631579","33.8947368421053","21.7894736842105","age","120"
"Jan 19, 2017","4.84210526315789","16.9473684210526","4.84210526315789","33.8947368421053","31.4736842105263","age","120"
"Jan 20, 2017","12.5454545454545","12.5454545454545","8.36363636363636","35.5454545454545","23","age","120"
"Jan 21, 2017","10.4545454545455","23","8.36363636363636","31.3636363636364","18.8181818181818","age","120"
"Jan 22, 2017","20.1643835616438","7.56164383561644","0","23.9452054794521","40.3287671232877","age","120"
"Jan 23, 2017","27.6","10.7333333333333","4.6","19.9333333333333","29.1333333333333","age","120"
"Jan 24, 2017","18.4","10.2222222222222","10.2222222222222","20.4444444444444","32.7111111111111","age","120"
