date,hamon présidentiel,macron présidentiel,fillon présidentiel,le pen présidentiel,mélenchon présidentiel,query,time
"Mar 11, 2017","20.0512820512821","20.0512820512821","25.9487179487179","25.9487179487179","0","age","120"
"Mar 12, 2017","18.5483870967742","17.8064516129032","9.64516129032258","34.8709677419355","11.1290322580645","age","120"
"Mar 13, 2017","14.4571428571429","23","5.91428571428571","34.1714285714286","14.4571428571429","age","120"
"Mar 14, 2017","13.0188679245283","18.2264150943396","10.4150943396226","42.5283018867925","7.81132075471698","age","120"
"Mar 15, 2017","0","19.7142857142857","23","39.4285714285714","9.85714285714286","age","120"
"Mar 16, 2017","19.4222222222222","25.5555555555556","9.2","28.6222222222222","9.2","age","120"
"Mar 17, 2017","8.1980198019802","25.5049504950495","11.8415841584158","29.1485148514851","17.3069306930693","age","120"
"Mar 18, 2017","31.672131147541","15.0819672131148","0","30.1639344262295","15.0819672131148","age","120"
"Mar 19, 2017","17.6923076923077","25.9487179487179","15.9230769230769","26.5384615384615","5.8974358974359","age","120"
"Mar 20, 2017","12.4324324324324","23.6216216216216","14.2972972972973","27.3513513513514","14.2972972972973","age","120"
"Mar 21, 2017","8.23880597014925","34.3283582089552","9.95522388059701","22.3134328358209","17.1641791044776","age","120"
"Mar 22, 2017","7.39285714285714","18.8928571428571","16.4285714285714","32.8571428571429","16.4285714285714","age","120"
"Mar 23, 2017","13.4634146341463","22.4390243902439","17.9512195121951","24.6829268292683","13.4634146341463","age","120"
"Mar 24, 2017","10.6153846153846","29.4871794871795","18.8717948717949","33.025641025641","0","age","120"
"Mar 25, 2017","13.3818181818182","18.4","15.0545454545455","31.7818181818182","13.3818181818182","age","120"
"Mar 26, 2017","18.6190476190476","20.8095238095238","16.4285714285714","12.047619047619","24.0952380952381","age","120"
"Mar 27, 2017","7.66666666666667","13.8","4.6","56.7333333333333","9.2","age","120"
"Mar 28, 2017","7.66666666666667","17.25","5.75","47.9166666666667","13.4166666666667","age","120"
"Mar 29, 2017","10.0975609756098","23.5609756097561","10.0975609756098","38.1463414634146","10.0975609756098","age","120"
"Mar 30, 2017","14.4719101123596","19.6404494382022","19.6404494382022","28.9438202247191","9.30337078651685","age","120"
"Mar 31, 2017","27.0588235294118","37.8823529411765","0","27.0588235294118","0","age","120"
"Apr 1, 2017","14.1538461538462","12.3846153846154","18.5769230769231","32.7307692307692","14.1538461538462","age","120"
"Apr 2, 2017","10.5416666666667","20.125","20.125","21.0833333333333","20.125","age","120"
"Apr 3, 2017","9.62790697674419","19.2558139534884","14.9767441860465","28.8837209302326","19.2558139534884","age","120"
"Apr 4, 2017","10.4545454545455","12.5454545454545","16.030303030303","38.3333333333333","14.6363636363636","age","120"
"Apr 5, 2017","12.1509433962264","23.1446540880503","16.2012578616352","27.1949685534591","13.3081761006289","age","120"
"Apr 6, 2017","11.9674796747967","28.4227642276423","14.2113821138211","18.6991869918699","18.6991869918699","age","120"
"Apr 7, 2017","9.01960784313725","24.3529411764706","13.5294117647059","27.0588235294118","18.0392156862745","age","120"
"Apr 8, 2017","0","19.7142857142857","13.1428571428571","39.4285714285714","19.7142857142857","age","120"
"Apr 9, 2017","16.56","14.72","16.56","29.44","14.72","age","120"
"Apr 10, 2017","6.57142857142857","18.2539682539683","20.4444444444444","26.2857142857143","20.4444444444444","age","120"
"Apr 11, 2017","13.7021276595745","21.531914893617","11.7446808510638","22.5106382978723","22.5106382978723","age","120"
"Apr 12, 2017","20.2121212121212","22.3030303030303","9.06060606060606","18.1212121212121","22.3030303030303","age","120"
"Apr 13, 2017","11.008547008547","20.4444444444444","7.86324786324786","25.1623931623932","27.5213675213675","age","120"
"Apr 14, 2017","8.93203883495146","21.4368932038835","22.3300970873786","17.8640776699029","21.4368932038835","age","120"
"Apr 15, 2017","7.38686131386861","17.4598540145985","17.4598540145985","26.8613138686131","22.8321167883212","age","120"
"Apr 16, 2017","11.04","22.08","22.08","17.1733333333333","19.6266666666667","age","120"
"Apr 17, 2017","23.6020942408377","15.8952879581152","15.8952879581152","19.2670157068063","17.3403141361257","age","120"
"Apr 18, 2017","12.512","29.072","6.624","26.864","16.928","age","120"
"Apr 19, 2017","15.456","31.648","22.816","13.248","8.832","age","120"
