date,hamon TOTAL0,macron TOTAL0,fillon TOTAL0,le pen TOTAL0,mélenchon TOTAL0,query,time
"Dec 22, 2016","1.24812599681021","24.0837818322029","15.6824298946667","23.4363086554594","15.0038990754063","age","120"
"Dec 23, 2016","4.15734272287396","16.6185836122669","18.854225739325","24.967476660703","14.8569167193767","age","120"
"Dec 24, 2016","6.14522953123432","18.7192317451289","12.5523165032734","23.3180568376178","14.5378926554729","age","120"
"Dec 25, 2016","2.31762697650512","24.1123556563789","16.6683613704288","27.8107801080231","8.54542134320954","age","120"
"Dec 26, 2016","6.42157977523831","18.2832381168967","13.7315839231372","21.4840874515586","6.98860164226018","age","120"
"Dec 27, 2016","2.42622229667684","19.9632604747808","14.5596086544754","28.7833111140235","9.54032473277064","age","120"
"Dec 28, 2016","6.20236013986014","28.2641525898344","9.48386784110885","26.0908036325901","9.41336125115195","age","120"
"Dec 29, 2016","2.2533606744133","21.0386762360447","16.476651856915","23.9084700387332","11.5955684666211","age","120"
"Dec 30, 2016","4.13574191765681","30.9959437256528","8.52566392094088","24.9798110546827","14.9992030174305","age","120"
"Dec 31, 2016","0.395339954163484","16.5767968010102","12.0988316797559","29.1819531126356","12.8379875433439","age","120"
"Jan 1, 2017","3.91829160481176","16.0733653291464","16.3399418222067","21.2293440664101","9.34814808651595","age","120"
"Jan 2, 2017","7.22048692048692","30.7455061455061","17.9157989157989","17.3309037309037","14.6054861054861","age","120"
"Jan 3, 2017","5.51502684441487","9.1678412150522","24.8935684263088","27.854292427431","7.84199835952035","age","120"
"Jan 4, 2017","6.45115764744199","17.1525794390049","23.7071669648196","24.3734429220626","7.77019848121637","age","120"
"Jan 5, 2017","10.0860356848747","31.4117568505339","17.4414344312951","20.8995235042449","7.97943134723321","age","120"
"Jan 6, 2017","8.37859542727963","25.2618031052241","17.5770226141757","14.7491582802588","13.4879660276072","age","120"
"Jan 7, 2017","5.9019574193739","23.6850812139373","11.4692229451417","23.1146165612287","11.1018491330457","age","120"
"Jan 8, 2017","10.8509165600075","22.0573629937266","10.799236338589","21.8025326579238","13.9444969042986","age","120"
"Jan 9, 2017","5.96961023647626","14.5582108879956","22.8408520221917","13.1867282134627","22.8991440944192","age","120"
"Jan 10, 2017","3.26620389661833","27.1462637800275","13.9473176559452","22.9111867574306","16.365391546342","age","120"
"Jan 11, 2017","9.3871855665326","26.3530253534163","18.1621414597189","24.8085068144315","9.10732262408253","age","120"
"Jan 12, 2017","5.32241925270672","23.8677412391599","16.9615284960179","15.6846224754604","21.8000521730187","age","120"
"Jan 13, 2017","11.2907814407814","31.3755168583881","13.0240396546921","19.9029626694093","12.2248811949109","age","120"
"Jan 14, 2017","5.41930934661417","22.8628997455052","13.9130318006263","21.2843702733221","11.7931161066596","age","120"
"Jan 15, 2017","11.1243442595137","29.5277391116374","8.10543624399557","15.1098097148945","19.7690343063224","age","120"
"Jan 16, 2017","6.03987444870715","29.9501724408832","13.2594314728055","19.5860859389097","14.8007993350581","age","120"
"Jan 17, 2017","5.99738002443755","33.976264908146","15.1317787577952","15.9478785242273","12.5830614217576","age","120"
"Jan 18, 2017","8.72862404740395","31.5192592963843","12.8593741268859","17.6868921870641","12.8422139786255","age","120"
"Jan 19, 2017","17.5103017758212","35.2866034455192","13.327979215816","17.6853453494518","8.18977021339185","age","120"
"Jan 20, 2017","10.5764351640673","28.0801219783459","8.88353803326314","17.6214239783564","14.2930263005127","age","120"
"Jan 21, 2017","12.1162723558618","23.5240934250746","8.27320682148179","20.974361478299","14.5666113738283","age","120"
"Jan 22, 2017","36.1027825956368","15.4460261750006","9.88344731482261","12.0494970848776","14.3364286478442","age","120"
"Jan 23, 2017","28.9577443873732","22.6474519495162","10.3742049809753","17.5938351200245","12.4267635621108","age","120"
"Jan 24, 2017","28.8888380899764","17.0832292766706","17.7003011197163","11.6905702962296","12.4552430355889","age","120"
"Jan 25, 2017","26.0426709778248","16.8432596173459","25.5226194046968","12.8621704913247","10.7292795088077","age","120"
"Jan 26, 2017","17.5771784067424","20.2667065616286","29.6277386112149","14.3877697983983","10.1406066220159","age","120"
"Jan 27, 2017","14.014672686037","16.5312429322003","25.8774227886897","16.2887930722168","10.9242321572198","age","120"
"Jan 28, 2017","11.6281814414457","16.3635946534886","27.7083187732749","16.9427206803377","15.1753662696349","age","120"
"Jan 29, 2017","24.8658713252589","21.0128009207642","22.8833112068483","14.8081017699083","8.42991477722039","age","120"
"Jan 30, 2017","20.9778289242477","20.1393738990547","23.2655891036633","10.7380773317893","16.879130741245","age","120"
"Jan 31, 2017","10.6446649077671","26.0389367543886","25.9400726148643","18.808016529033","10.568309193947","age","120"
"Feb 1, 2017","7.31748744981571","21.9973265840326","32.3730189363031","17.4308668535186","12.88130017633","age","120"
"Feb 2, 2017","6.5417605345058","18.8159282206265","35.148272696874","16.393367363615","10.9188530025605","age","120"
"Feb 3, 2017","7.70156317305814","18.1481292534332","37.3036814085961","15.0888646599568","9.57594332313758","age","120"
"Feb 4, 2017","9.71545920765102","30.8800003046217","23.3624816209328","19.6866416264413","8.3554172403532","age","120"
