date,hamon europe,macron europe,fillon europe,le pen europe,mélenchon europe,query,time
"Dec 22, 2016","0","0","0","50.1818181818182","41.8181818181818","age","120"
"Dec 23, 2016","0","0","0","92","0","age","120"
"Dec 24, 2016","0","0","0","92","0","age","120"
"Dec 25, 2016","0","0","0","92","0","age","120"
"Dec 26, 2016","0","0","46","46","0","age","120"
"Dec 27, 2016","0","14.375","31.625","31.625","14.375","age","120"
"Dec 28, 2016","0","0","0","92","0","age","120"
"Dec 29, 2016","21.9047619047619","0","0","48.1904761904762","21.9047619047619","age","120"
"Dec 30, 2016","16.4285714285714","16.4285714285714","16.4285714285714","26.2857142857143","16.4285714285714","age","120"
"Dec 31, 2016","0","0","29.2727272727273","62.7272727272727","0","age","120"
"Jan 1, 2017","29.0526315789474","0","29.0526315789474","33.8947368421053","0","age","120"
"Jan 2, 2017","32.2","0","0","59.8","0","age","120"
"Jan 3, 2017","0","23","46","23","0","age","120"
"Jan 4, 2017","18.4","18.4","18.4","36.8","0","age","120"
"Jan 5, 2017","0","53.6666666666667","38.3333333333333","0","0","age","120"
"Jan 6, 2017","17.037037037037","17.037037037037","23.8518518518519","17.037037037037","17.037037037037","age","120"
"Jan 7, 2017","0","0","92","0","0","age","120"
"Jan 8, 2017","0","46","0","46","0","age","120"
"Jan 9, 2017","17.037037037037","17.037037037037","23.8518518518519","17.037037037037","17.037037037037","age","120"
"Jan 10, 2017","0","0","0","92","0","age","120"
"Jan 11, 2017","17.5238095238095","17.5238095238095","17.5238095238095","21.9047619047619","17.5238095238095","age","120"
"Jan 12, 2017","15.3333333333333","15.3333333333333","0","30.6666666666667","30.6666666666667","age","120"
"Jan 13, 2017","30.6666666666667","0","30.6666666666667","30.6666666666667","0","age","120"
"Jan 14, 2017","13.9393939393939","22.3030303030303","0","16.7272727272727","39.030303030303","age","120"
"Jan 15, 2017","0","57.5","0","34.5","0","age","120"
"Jan 16, 2017","9.78723404255319","35.2340425531915","9.78723404255319","27.4042553191489","9.78723404255319","age","120"
"Jan 17, 2017","0","40.6511627906977","0","21.3953488372093","29.953488372093","age","120"
"Jan 18, 2017","0","28.3076923076923","11.7948717948718","28.3076923076923","23.5897435897436","age","120"
"Jan 19, 2017","25.5555555555556","12.7777777777778","0","53.6666666666667","0","age","120"
"Jan 20, 2017","0","23","11.5","34.5","23","age","120"
"Jan 21, 2017","0","13.4634146341463","0","26.9268292682927","51.609756097561","age","120"
"Jan 22, 2017","33.4545454545455","0","13.9393939393939","22.3030303030303","22.3030303030303","age","120"
"Jan 23, 2017","34.8108108108108","12.4324324324324","0","32.3243243243243","12.4324324324324","age","120"
"Jan 24, 2017","42","10","0","30","10","age","120"
"Jan 25, 2017","22.3783783783784","11.1891891891892","13.6756756756757","21.1351351351351","23.6216216216216","age","120"
"Jan 26, 2017","23.9452054794521","6.3013698630137","36.5479452054795","12.6027397260274","12.6027397260274","age","120"
"Jan 27, 2017","28.1632653061225","9.38775510204082","22.530612244898","9.38775510204082","22.530612244898","age","120"
"Jan 28, 2017","0","21.1351351351351","31.0810810810811","18.6486486486486","21.1351351351351","age","120"
"Jan 29, 2017","25.9272727272727","15.0545454545455","21.7454545454545","15.0545454545455","14.2181818181818","age","120"
"Jan 30, 2017","27.8421052631579","16.9473684210526","19.3684210526316","16.9473684210526","10.8947368421053","age","120"
"Jan 31, 2017","13.9746835443038","13.9746835443038","18.6329113924051","34.9367088607595","10.4810126582278","age","120"
"Feb 1, 2017","5.67901234567901","23.8518518518519","18.1728395061728","22.716049382716","21.5802469135802","age","120"
"Feb 2, 2017","0","0","42.9333333333333","41.4","7.66666666666667","age","120"
"Feb 3, 2017","9.38775510204082","9.38775510204082","28.1632653061225","26.2857142857143","18.7755102040816","age","120"
"Feb 4, 2017","24.0615384615385","15.5692307692308","15.5692307692308","21.2307692307692","15.5692307692308","age","120"
"Feb 5, 2017","0","20.9824561403509","8.07017543859649","40.3508771929825","22.5964912280702","age","120"
