date,hamon age,macron age,fillon age,le pen age,mélenchon age,query,time
"Dec 22, 2016","0","39.4285714285714","13.1428571428571","39.4285714285714","0","age","120"
"Dec 23, 2016","0","26.2857142857143","13.1428571428571","39.4285714285714","13.1428571428571","age","120"
"Dec 24, 2016","4.6","41.4","4.6","36.8","4.6","age","120"
"Dec 25, 2016","0","65.7142857142857","6.57142857142857","13.1428571428571","6.57142857142857","age","120"
"Dec 26, 2016","0","18.4","18.4","55.2","0","age","120"
"Dec 27, 2016","11.5","46","11.5","23","0","age","120"
"Dec 28, 2016","11.5","57.5","0","23","0","age","120"
"Dec 29, 2016","0","39.4285714285714","26.2857142857143","26.2857142857143","0","age","120"
"Dec 30, 2016","15.3333333333333","30.6666666666667","15.3333333333333","30.6666666666667","0","age","120"
"Dec 31, 2016","0","48.7058823529412","5.41176470588235","32.4705882352941","5.41176470588235","age","120"
"Jan 1, 2017","0","42.9333333333333","12.2666666666667","30.6666666666667","6.13333333333333","age","120"
"Jan 2, 2017","11.5","34.5","11.5","23","11.5","age","120"
"Jan 3, 2017","9.2","18.4","9.2","46","9.2","age","120"
"Jan 4, 2017","11.5","34.5","11.5","23","11.5","age","120"
"Jan 5, 2017","7.66666666666667","61.3333333333333","7.66666666666667","7.66666666666667","7.66666666666667","age","120"
"Jan 6, 2017","5.75","51.75","5.75","23","5.75","age","120"
"Jan 7, 2017","4.84210526315789","53.2631578947368","9.68421052631579","19.3684210526316","4.84210526315789","age","120"
"Jan 8, 2017","6.13333333333333","49.0666666666667","12.2666666666667","12.2666666666667","12.2666666666667","age","120"
"Jan 9, 2017","0","46","9.2","18.4","18.4","age","120"
"Jan 10, 2017","8.36363636363636","50.1818181818182","8.36363636363636","16.7272727272727","8.36363636363636","age","120"
"Jan 11, 2017","7.07692307692308","28.3076923076923","21.2307692307692","21.2307692307692","14.1538461538462","age","120"
"Jan 12, 2017","7.07692307692308","49.5384615384615","14.1538461538462","14.1538461538462","7.07692307692308","age","120"
"Jan 13, 2017","6.57142857142857","46","6.57142857142857","26.2857142857143","6.57142857142857","age","120"
"Jan 14, 2017","3.53846153846154","53.0769230769231","14.1538461538462","17.6923076923077","3.53846153846154","age","120"
"Jan 15, 2017","20.4444444444444","40.8888888888889","10.2222222222222","13.6296296296296","6.81481481481481","age","120"
"Jan 16, 2017","2.62857142857143","31.5428571428571","2.62857142857143","52.5714285714286","2.62857142857143","age","120"
"Jan 17, 2017","0","51.75","5.75","34.5","0","age","120"
"Jan 18, 2017","7.66666666666667","61.3333333333333","7.66666666666667","15.3333333333333","0","age","120"
"Jan 19, 2017","21.2307692307692","56.6153846153846","3.53846153846154","7.07692307692308","3.53846153846154","age","120"
"Jan 20, 2017","16.2352941176471","43.2941176470588","10.8235294117647","21.6470588235294","0","age","120"
"Jan 21, 2017","3.83333333333333","34.5","3.83333333333333","46","3.83333333333333","age","120"
"Jan 22, 2017","53.6666666666667","19.9333333333333","6.13333333333333","9.2","3.06666666666667","age","120"
"Jan 23, 2017","44.8205128205128","30.6666666666667","7.07692307692308","4.71794871794872","4.71794871794872","age","120"
"Jan 24, 2017","28","40","12","8","4","age","120"
"Jan 25, 2017","44.5161290322581","20.7741935483871","19.2903225806452","4.45161290322581","2.96774193548387","age","120"
"Jan 26, 2017","32.093023255814","23.5348837209302","23.5348837209302","8.55813953488372","4.27906976744186","age","120"
"Jan 27, 2017","16.3555555555556","22.4888888888889","34.7555555555556","12.2666666666667","6.13333333333333","age","120"
"Jan 28, 2017","12.8372093023256","32.093023255814","29.953488372093","14.9767441860465","2.13953488372093","age","120"
"Jan 29, 2017","36.621359223301","21.4368932038835","22.3300970873786","8.03883495145631","3.57281553398058","age","120"
"Jan 30, 2017","36.2816901408451","25.9154929577465","14.2535211267606","9.07042253521127","6.47887323943662","age","120"
"Jan 31, 2017","12.4324324324324","24.8648648648649","37.2972972972973","12.4324324324324","4.97297297297297","age","120"
"Feb 1, 2017","6.94339622641509","48.6037735849057","27.7735849056604","6.94339622641509","1.73584905660377","age","120"
"Feb 2, 2017","11.265306122449","41.3061224489796","31.9183673469388","3.75510204081633","3.75510204081633","age","120"
"Feb 3, 2017","7.51020408163265","39.4285714285714","28.1632653061225","11.265306122449","5.63265306122449","age","120"
"Feb 4, 2017","5.25714285714286","55.2","17.0857142857143","13.1428571428571","1.31428571428571","age","120"
"Feb 5, 2017","11.5","37.0555555555556","12.7777777777778","25.5555555555556","5.11111111111111","age","120"
"Feb 6, 2017","7.26315789473684","33.8947368421053","33.8947368421053","12.1052631578947","4.84210526315789","age","120"
"Feb 7, 2017","2.3","50.6","27.6","9.2","2.3","age","120"
"Feb 8, 2017","6.57142857142857","46","23","9.85714285714286","6.57142857142857","age","120"
"Feb 9, 2017","1.35294117647059","16.2352941176471","8.11764705882353","63.5882352941176","2.70588235294118","age","120"
"Feb 10, 2017","2.55555555555556","33.2222222222222","17.8888888888889","35.7777777777778","2.55555555555556","age","120"
"Feb 11, 2017","15.7714285714286","39.4285714285714","18.4","15.7714285714286","2.62857142857143","age","120"
"Feb 12, 2017","4.48780487804878","38.1463414634146","24.6829268292683","20.1951219512195","4.48780487804878","age","120"
"Feb 13, 2017","4.6","32.2","27.6","23","4.6","age","120"
"Feb 14, 2017","15.3333333333333","34.5","15.3333333333333","23","3.83333333333333","age","120"
"Feb 15, 2017","12.2666666666667","49.0666666666667","12.2666666666667","12.2666666666667","6.13333333333333","age","120"
"Feb 16, 2017","8.76190476190476","43.8095238095238","13.1428571428571","17.5238095238095","8.76190476190476","age","120"
