date,hamon 2017,macron 2017,fillon 2017,le pen 2017,mélenchon 2017,query,time
"Dec 22, 2016","4.84210526315789","24.2105263157895","19.3684210526316","29.0526315789474","14.5263157894737","age","120"
"Dec 23, 2016","4.84210526315789","19.3684210526316","19.3684210526316","24.2105263157895","24.2105263157895","age","120"
"Dec 24, 2016","5.75","23","11.5","40.25","11.5","age","120"
"Dec 25, 2016","0","28.3076923076923","14.1538461538462","35.3846153846154","14.1538461538462","age","120"
"Dec 26, 2016","0","21.2307692307692","21.2307692307692","35.3846153846154","14.1538461538462","age","120"
"Dec 27, 2016","0","8.36363636363636","25.0909090909091","41.8181818181818","16.7272727272727","age","120"
"Dec 28, 2016","7.07692307692308","14.1538461538462","14.1538461538462","35.3846153846154","21.2307692307692","age","120"
"Dec 29, 2016","0","23","17.25","34.5","17.25","age","120"
"Dec 30, 2016","11.5","17.25","17.25","34.5","11.5","age","120"
"Dec 31, 2016","3.28571428571429","23","13.1428571428571","39.4285714285714","13.1428571428571","age","120"
"Jan 1, 2017","3.53846153846154","21.2307692307692","17.6923076923077","42.4615384615385","7.07692307692308","age","120"
"Jan 2, 2017","3.83333333333333","19.1666666666667","30.6666666666667","30.6666666666667","7.66666666666667","age","120"
"Jan 3, 2017","2.55555555555556","17.8888888888889","25.5555555555556","38.3333333333333","7.66666666666667","age","120"
"Jan 4, 2017","6.13333333333333","12.2666666666667","33.7333333333333","30.6666666666667","9.2","age","120"
"Jan 5, 2017","5.41176470588235","24.3529411764706","21.6470588235294","32.4705882352941","8.11764705882353","age","120"
"Jan 6, 2017","6.57142857142857","16.4285714285714","23","29.5714285714286","16.4285714285714","age","120"
"Jan 7, 2017","8","24","12","32","16","age","120"
"Jan 8, 2017","9.94594594594595","17.4054054054054","17.4054054054054","27.3513513513514","19.8918918918919","age","120"
"Jan 9, 2017","5.75","17.25","23","25.875","20.125","age","120"
"Jan 10, 2017","6.81481481481481","23.8518518518519","27.2592592592593","20.4444444444444","13.6296296296296","age","120"
"Jan 11, 2017","6.3448275862069","22.2068965517241","22.2068965517241","31.7241379310345","9.51724137931035","age","120"
"Jan 12, 2017","7.45945945945946","17.4054054054054","19.8918918918919","29.8378378378378","17.4054054054054","age","120"
"Jan 13, 2017","9.85714285714286","19.7142857142857","13.1428571428571","32.8571428571429","16.4285714285714","age","120"
"Jan 14, 2017","5.57575757575758","33.4545454545455","16.7272727272727","25.0909090909091","11.1515151515152","age","120"
"Jan 15, 2017","7.45945945945946","29.8378378378378","14.9189189189189","24.8648648648649","14.9189189189189","age","120"
"Jan 16, 2017","7.26315789473684","29.0526315789474","14.5263157894737","29.0526315789474","12.1052631578947","age","120"
"Jan 17, 2017","6.41860465116279","29.953488372093","14.9767441860465","27.8139534883721","12.8372093023256","age","120"
"Jan 18, 2017","5.57575757575758","30.6666666666667","19.5151515151515","25.0909090909091","11.1515151515152","age","120"
"Jan 19, 2017","10.8235294117647","29.7647058823529","16.2352941176471","27.0588235294118","8.11764705882353","age","120"
"Jan 20, 2017","15.8620689655172","22.2068965517241","19.0344827586207","25.3793103448276","9.51724137931035","age","120"
"Jan 21, 2017","11.8709677419355","26.7096774193548","8.90322580645161","32.6451612903226","11.8709677419355","age","120"
"Jan 22, 2017","36.8","23.2421052631579","7.74736842105263","15.4947368421053","8.71578947368421","age","120"
"Jan 23, 2017","35.3846153846154","16.1758241758242","15.1648351648352","16.1758241758242","9.0989010989011","age","120"
"Jan 24, 2017","16.7272727272727","21.7454545454545","25.0909090909091","20.0727272727273","8.36363636363636","age","120"
"Jan 25, 2017","20","18.6666666666667","30.6666666666667","16","6.66666666666667","age","120"
"Jan 26, 2017","17.3777777777778","17.3777777777778","34.7555555555556","16.3555555555556","6.13333333333333","age","120"
"Jan 27, 2017","15.1529411764706","12.9882352941176","38.9647058823529","17.3176470588235","7.57647058823529","age","120"
"Jan 28, 2017","15.7368421052632","10.8947368421053","36.3157894736842","23","6.05263157894737","age","120"
"Jan 29, 2017","28.1111111111111","15.3333333333333","28.537037037037","15.3333333333333","4.68518518518519","age","120"
"Jan 30, 2017","23.1256830601093","17.5956284153005","24.1311475409836","21.1147540983607","6.0327868852459","age","120"
"Jan 31, 2017","8.44036697247707","15.1926605504587","37.9816513761468","19.4128440366972","10.9724770642202","age","120"
"Feb 1, 2017","7.84496124031008","20.6821705426357","37.0852713178295","19.968992248062","6.41860465116279","age","120"
"Feb 2, 2017","6.84297520661157","17.4876033057851","41.8181818181818","21.2892561983471","4.56198347107438","age","120"
"Feb 3, 2017","8.03883495145631","12.504854368932","43.7669902912621","20.5436893203883","7.14563106796116","age","120"
"Feb 4, 2017","4.29333333333333","20.8533333333333","20.8533333333333","37.4133333333333","8.58666666666667","age","120"
"Feb 5, 2017","7.59223300970874","13.3980582524272","17.8640776699029","42.4271844660194","10.7184466019417","age","120"
"Feb 6, 2017","3.76608187134503","9.68421052631579","45.7309941520468","26.3625730994152","6.45614035087719","age","120"
"Feb 7, 2017","5.49253731343284","14.4179104477612","41.1940298507463","26.089552238806","4.80597014925373","age","120"
"Feb 8, 2017","5.63265306122449","19.7142857142857","35.6734693877551","24.4081632653061","6.57142857142857","age","120"
"Feb 9, 2017","4.88495575221239","14.6548672566372","29.3097345132743","36.6371681415929","6.51327433628319","age","120"
"Feb 10, 2017","4.45161290322581","10.3870967741935","22.258064516129","51.9354838709677","2.96774193548387","age","120"
"Feb 11, 2017","8.90322580645161","15.8279569892473","28.6881720430108","31.6559139784946","6.9247311827957","age","120"
