date,hamon WEB,macron WEB,fillon WEB,le pen WEB,mélenchon WEB,query,time
"Dec 22, 2016","1.02222222222222","16.5855555555556","9.62166666666667","50.2294444444444","14.5411111111111","age","120"
"Dec 23, 2016","5.81877135756446","12.3065004659832","7.47642901522212","38.9487030133582","27.449596147872","age","120"
"Dec 24, 2016","4.93240093240093","16.5195221445221","3.96736596736597","43.7348484848485","22.8458624708625","age","120"
"Dec 25, 2016","4.81230769230769","8.31931623931624","10.7097435897436","46.9907692307692","21.1678632478633","age","120"
"Dec 26, 2016","2.35897435897436","6.03897435897436","16.4184615384615","58.6912820512821","8.49230769230769","age","120"
"Dec 27, 2016","2.7454954954955","12.5655094749922","6.74673811742777","49.2831624728176","20.6590944392669","age","120"
"Dec 28, 2016","5.55833333333333","5.55833333333333","4.21666666666667","51.2388888888889","25.4277777777778","age","120"
"Dec 29, 2016","4.8421052631579","13.7280701754386","8.67543859649123","45.9254385964912","18.8289473684211","age","120"
"Dec 30, 2016","1.30496453900709","9.38234549138805","9.65615501519756","51.1033434650456","20.5531914893617","age","120"
"Dec 31, 2016","0","4.7410759175465","8.92289409936467","63.4273961332785","14.9086338498103","age","120"
"Jan 1, 2017","5.27520263424519","9.63285207700102","9.19009625126646","47.2350557244174","20.6667933130699","age","120"
"Jan 2, 2017","2.2716049382716","9.64335764335764","7.98569998569998","34.1047714381048","37.994565994566","age","120"
"Jan 3, 2017","5.58946143462273","2.90778755294884","9.48649629939954","65.7982218498347","8.21803286319414","age","120"
"Jan 4, 2017","6.34482758620688","8.35402298850575","9.44674329501916","43.92030651341","23.9340996168582","age","120"
"Jan 5, 2017","4.85714285714286","10.4621848739496","10.4621848739496","49.2100840336135","17.0084033613445","age","120"
"Jan 6, 2017","4.21321321321321","13.7309309309309","16.1663063063063","38.4438438438439","19.4457057057057","age","120"
"Jan 7, 2017","4.54390243902439","12.1163806082505","9.08711231556759","45.0304125263475","21.22219211081","age","120"
"Jan 8, 2017","5.98730158730159","14.4698412698413","7.98730158730159","40.3746031746032","23.1809523809524","age","120"
"Jan 9, 2017","7.48007054673721","7.73968253968253","11.7149911816578","33.3925925925926","31.6726631393298","age","120"
"Jan 10, 2017","5.77415966386555","6.86939775910364","6.81302521008403","55.4866946778712","17.0567226890756","age","120"
"Jan 11, 2017","7.59326241134752","18.636524822695","7.8991134751773","43.2514184397163","14.6196808510638","age","120"
"Jan 12, 2017","3.46178092986604","9.9119306540583","11.9513002364066","43.5321670606777","23.1428211189913","age","120"
"Jan 13, 2017","2.66788766788767","10.0842849960497","9.76793794440852","40.5213316095669","28.9585577820872","age","120"
"Jan 14, 2017","3.6812585499316","16.6164594265335","6.22528261564952","44.0930777031396","21.3839217047458","age","120"
"Jan 15, 2017","3.83092697216991","17.7352519838396","8.85022614966118","41.0132792505674","20.570315643762","age","120"
"Jan 16, 2017","3.08354866494401","17.8070628768303","9.38931955211025","33.7002583979328","28.0198105081826","age","120"
"Jan 17, 2017","7.52004449578573","22.4879704502346","11.9702077896148","35.3995778604943","14.6221994038706","age","120"
"Jan 18, 2017","11.1397243107769","16.4477861319966","5.78362573099415","43.7903091060986","14.8385547201336","age","120"
"Jan 19, 2017","7.07624380099183","13.7212605983043","6.62882738761798","49.5150642563857","15.0586039567003","age","120"
"Jan 20, 2017","8.68766613503454","12.8572567783094","8.40337586390218","47.1555023923445","14.8961988304093","age","120"
"Jan 21, 2017","9.67715617715619","15.4316239316239","4.36052836052836","47.7066822066822","14.8240093240093","age","120"
"Jan 22, 2017","29.4234330182005","9.20098612986903","4.13496087636933","24.5503736574699","24.6902463180912","age","120"
"Jan 23, 2017","28.4649572649573","9.08205128205127","5.07179487179487","31.4136752136752","17.9675213675214","age","120"
"Jan 24, 2017","22.2383348866107","10.1237789513652","12.1958510234372","29.0360015187601","18.4060336198267","age","120"
"Jan 25, 2017","19.7679933235489","8.67704106592995","28.1412270856715","22.0478718812052","13.3658666436444","age","120"
"Jan 26, 2017","16.9705160216396","8.5491468997087","35.0718893050354","21.9380565959218","9.47039117769455","age","120"
"Jan 27, 2017","10.1626482691842","6.41668435655364","37.7936558479042","21.6090274286353","16.0179840977226","age","120"
"Jan 28, 2017","12.0132309267793","5.11582181259601","33.8520430107527","24.6454480286738","16.3734562211982","age","120"
"Jan 29, 2017","28.7527213382293","7.41305045559635","21.863794369645","20.0074037807697","13.9630300557596","age","120"
"Jan 30, 2017","22.0256008744458","11.5550827161859","21.8662847107083","20.356382717414","16.1966489812461","age","120"
"Jan 31, 2017","12.1069593686287","6.700658185613","36.4705069479126","20.5092298136423","16.2126456842034","age","120"
"Feb 1, 2017","4.86621549567286","10.574660596366","39.7478036175711","21.864511983375","14.946808307015","age","120"
"Feb 2, 2017","3.7846863565769","8.39588696728001","48.1834531048462","22.0218536944905","9.61411987680644","age","120"
"Feb 3, 2017","5.00656942129739","6.83243812424981","49.4813030896563","18.2239991186685","12.455690246128","age","120"
"Feb 4, 2017","2.5394979757085","14.6498515519568","37.3480269905533","25.8126423751687","11.6499811066127","age","120"
"Feb 5, 2017","8.34586663898404","7.34815737568774","25.3584968338005","24.3531471677221","26.5943319838057","age","120"
"Feb 6, 2017","2.54980193775042","6.57338242143839","49.4630967451756","22.5591411434631","10.8545777521724","age","120"
"Feb 7, 2017","4.8236861504849","13.9921300805555","39.9884281168953","18.0120500979729","15.1837055540914","age","120"
"Feb 8, 2017","2.68277818821336","12.7397925845187","40.3198343745608","24.1499022980608","12.1076925546464","age","120"
