class,number
hamon WEB_BEST_TOPIC,8.2
macron WEB_BEST_TOPIC,19.9
fillon WEB_BEST_TOPIC,18.9
le pen WEB_BEST_TOPIC,28.0
mélenchon WEB_BEST_TOPIC,16.3
