class,number
hamon WEB_BEST_TOPIC0,8.2
macron WEB_BEST_TOPIC0,21.4
fillon WEB_BEST_TOPIC0,19.2
le pen WEB_BEST_TOPIC0,23.6
mélenchon WEB_BEST_TOPIC0,15.9
