date,hamon chomage,macron chomage,fillon chomage,le pen chomage,mélenchon chomage,query,time
"Mar 22, 2017","0","66","26","0","0","age","120"
"Mar 23, 2017","0","52.1333333333333","19.9333333333333","0","19.9333333333333","age","120"
"Mar 24, 2017","0","18.4","73.6","0","0","age","120"
"Mar 25, 2017","0","46","46","0","0","age","120"
"Mar 26, 2017","0","55.421686746988","36.578313253012","0","0","age","120"
"Mar 27, 2017","0","60.5853658536585","31.4146341463415","0","0","age","120"
"Mar 28, 2017","0","52.8510638297872","39.1489361702128","0","0","age","120"
"Mar 29, 2017","0","43.2478632478633","37.7435897435897","0","11.008547008547","age","120"
"Mar 30, 2017","0","61.3333333333333","15.3333333333333","0","15.3333333333333","age","120"
"Mar 31, 2017","0","46","46","0","0","age","120"
"Apr 1, 2017","0","46","23","0","23","age","120"
"Apr 2, 2017","0","92","0","0","0","age","120"
"Apr 3, 2017","0","41.7066666666667","33.12","0","17.1733333333333","age","120"
"Apr 4, 2017","0","46","46","0","0","age","120"
"Apr 5, 2017","0","46","46","0","0","age","120"
"Apr 6, 2017","0","49.0666666666667","24.5333333333333","0","18.4","age","120"
"Apr 7, 2017","0","92","0","0","0","age","120"
"Apr 8, 2017","0","0","0","0","92","age","120"
"Apr 9, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Apr 10, 2017","0","0","0","0","92","age","120"
"Apr 11, 2017","0","53.2048192771084","23.2771084337349","0","15.5180722891566","age","120"
"Apr 12, 2017","0","29.953488372093","0","0","62.046511627907","age","120"
"Apr 13, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Apr 14, 2017","0","49.8795180722892","25.4939759036145","0","16.6265060240964","age","120"
"Apr 15, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Apr 16, 2017","0","46","0","0","46","age","120"
"Apr 17, 2017","0","35.3846153846154","28.3076923076923","0","28.3076923076923","age","120"
"Apr 18, 2017","0","58.1052631578947","16.9473684210526","0","16.9473684210526","age","120"
"Apr 19, 2017","0","48.7521367521367","22.017094017094","0","21.2307692307692","age","120"
