date,hamon BEST,macron BEST,fillon BEST,le pen BEST,mélenchon BEST,query,time
"Dec 22, 2016","0","36.4461538461538","15.9230769230769","16.9846153846154","22.6461538461538","age","120"
"Dec 23, 2016","1.56595744680851","32.7437352245863","25.6208037825059","20.2486997635934","11.8208037825059","age","120"
"Dec 24, 2016","1.67272727272727","32.5688578088578","15.3998135198135","29.1054545454545","13.2531468531468","age","120"
"Dec 25, 2016","7.31017408123791","39.2628239845261","12.9476208897485","23.7811992263056","8.69818181818182","age","120"
"Dec 26, 2016","1.79512195121951","16.2522648083624","11.6522648083624","21.0766550522648","4.42369337979093","age","120"
"Dec 27, 2016","2.23030303030304","22.930303030303","6.9","32.3393939393939","9.2","age","120"
"Dec 28, 2016","0","31.0653333333333","14.5666666666667","38.7013333333333","7.66666666666666","age","120"
"Dec 29, 2016","0","17.9619047619048","19.8019047619048","33.9304761904762","20.3057142857143","age","120"
"Dec 30, 2016","0","20.2760784313726","9.81333333333334","44.16","17.7505882352941","age","120"
"Dec 31, 2016","0","21.3573126614987","9.40444444444444","28.6507493540052","32.5874935400517","age","120"
"Jan 1, 2017","2.3","25.8245614035088","14.5666666666667","33.7333333333333","15.5754385964912","age","120"
"Jan 2, 2017","5.56717948717949","28.9075457875458","19.1885714285714","22.3226373626374","16.0140659340659","age","120"
"Jan 3, 2017","9.752","20.4853333333333","19.0133333333333","32.6293333333333","10.12","age","120"
"Jan 4, 2017","2.62857142857142","20.4124116743472","15.2508683473389","50.6414818830758","3.06666666666666","age","120"
"Jan 5, 2017","10.00174291939","26.5376906318083","19.2618736383442","23.4108932461874","12.7877995642702","age","120"
"Jan 6, 2017","16.4577777777778","37.1748148148148","10.8355555555555","13.0503703703704","14.4814814814815","age","120"
"Jan 7, 2017","9.68496124031008","30.8509958258795","6.51076923076924","33.3043291592129","11.6489445438283","age","120"
"Jan 8, 2017","7.98129870129869","24.9628504828505","11.5412054612054","34.0862604062604","13.4283849483849","age","120"
"Jan 9, 2017","10.8941724941725","21.2117068117068","21.7978761978762","13.7249417249417","24.3713027713028","age","120"
"Jan 10, 2017","4.34444444444444","34.5","7.15555555555554","27.8555555555555","18.1444444444444","age","120"
"Jan 11, 2017","8.17777777777778","27.370310391363","14.9091318038686","30.5342330184435","11.008547008547","age","120"
"Jan 12, 2017","8.82668059909438","39.7545106234761","8.42291884360849","15.6121212121212","19.3837687216997","age","120"
"Jan 13, 2017","11.5196581196581","25.5681664247702","9.47521367521368","34.5730688598613","10.8638929204967","age","120"
"Jan 14, 2017","11.0108597285068","28.4492307692308","17.521628959276","27.0921266968326","7.92615384615385","age","120"
"Jan 15, 2017","8.81666666666666","43.0866666666667","14.95","4.6","20.5466666666667","age","120"
"Jan 16, 2017","11.5383333333333","29.1627519379845","15.849496124031","21.5433333333333","13.9060852713178","age","120"
"Jan 17, 2017","7.20426849136526","34.7855327468231","19.9325839035516","19.1231997393288","10.9544151189312","age","120"
"Jan 18, 2017","5.13076923076924","41.215034965035","6.28076923076924","26.458041958042","12.9153846153846","age","120"
"Jan 19, 2017","12.2512949039265","61.302589807853","4.94970760233918","8.54670008354218","4.94970760233918","age","120"
"Jan 20, 2017","18.0375757575758","29.8442424242424","12.029696969697","19.9751515151515","12.1133333333333","age","120"
"Jan 21, 2017","11.04","18.1835294117647","8.80313725490197","20.8533333333333","14.72","age","120"
"Jan 22, 2017","35.1447265073325","18.83755720304","7.2823027886679","20.6019310008057","10.1334825001538","age","120"
"Jan 23, 2017","28.7559901719902","22.1152628992629","9.64791328226622","21.6170348316231","9.86379881485764","age","120"
"Jan 24, 2017","33.5395604395604","22.0016483516483","15.2490842490842","14.8657509157509","6.34395604395604","age","120"
"Jan 25, 2017","23.4477189111776","18.0452090328782","26.6033756205185","15.1928745931754","8.71082184225041","age","120"
"Jan 26, 2017","21.9777777777778","22.9521863799283","21.7601433691756","17.8756989247312","7.4341935483871","age","120"
"Jan 27, 2017","19.5987878787879","19.5876363636364","26.0053333333333","22.8829090909091","3.92533333333333","age","120"
"Jan 28, 2017","15.7201596763892","18.2770427932723","26.82438045561","22.3283872684692","8.85002980625932","age","120"
"Jan 29, 2017","31.8201461839198","16.0934263373886","18.703527840509","19.5057660085962","5.87713362958646","age","120"
"Jan 30, 2017","24.3251449007276","19.486964043479","20.4808470306361","12.3740186389021","15.3330253862551","age","120"
"Jan 31, 2017","10.7419098294748","22.225676469339","26.6525498225618","23.9126793238748","8.46718455474952","age","120"
"Feb 1, 2017","9.9024284806103","26.8987412587413","22.7360938051847","24.7923656141838","7.67037084127993","age","120"
"Feb 2, 2017","9.38329637841833","21.1250258684405","29.8653954175905","24.9805469327421","6.64573540280857","age","120"
"Feb 3, 2017","5.85896903262919","19.9410463072449","31.1626393105579","20.9814843458715","14.0558610036965","age","120"
"Feb 4, 2017","7.27251043530114","27.5725375399794","23.2081747709655","25.8481487504743","8.09862850327966","age","120"
"Feb 5, 2017","9.09606280671276","19.2273312919411","16.1069163615573","37.5302725276981","10.0394170120907","age","120"
"Feb 6, 2017","8.5000200638395","16.1426416283215","33.2771310367699","19.5927932678357","14.4874140032334","age","120"
"Feb 7, 2017","8.76488758553276","21.5169110459433","31.0190811339199","24.0872615556486","6.61185867895546","age","120"
"Feb 8, 2017","5.25276190476191","21.1734798534799","30.4233553113553","25.76","9.39040293040294","age","120"
"Feb 9, 2017","7.70164023071377","16.7904229752463","27.2998978610911","30.99190098534","9.21613794760875","age","120"
