date,hamon culture,macron culture,fillon culture,le pen culture,mélenchon culture,query,time
"Feb 19, 2017","23","34.5","34.5","0","0","age","120"
"Feb 20, 2017","13.7021276595745","25.4468085106383","25.4468085106383","0","27.4042553191489","age","120"
"Feb 21, 2017","0","35.1764705882353","18.9411764705882","0","37.8823529411765","age","120"
"Feb 22, 2017","0","59.8","32.2","0","0","age","120"
"Feb 23, 2017","0","61.3333333333333","30.6666666666667","0","0","age","120"
"Feb 24, 2017","15.3333333333333","46","0","0","30.6666666666667","age","120"
"Feb 25, 2017","46","0","46","0","0","age","120"
"Feb 26, 2017","0","46","46","0","0","age","120"
"Feb 27, 2017","0","46","46","0","0","age","120"
"Feb 28, 2017","11.04","34.96","23.92","0","22.08","age","120"
"Mar 1, 2017","0","25.0909090909091","66.9090909090909","0","0","age","120"
"Mar 2, 2017","9.2","48.6285714285714","17.0857142857143","0","17.0857142857143","age","120"
"Mar 3, 2017","0","46","23","0","23","age","120"
"Mar 4, 2017","22.2068965517241","47.5862068965517","0","0","22.2068965517241","age","120"
"Mar 5, 2017","8.25641025641026","29.4871794871795","54.2564102564103","0","0","age","120"
"Mar 6, 2017","0","20.4444444444444","30.6666666666667","0","40.8888888888889","age","120"
"Mar 7, 2017","25.0909090909091","41.8181818181818","25.0909090909091","0","0","age","120"
"Mar 8, 2017","0","55.2","0","0","36.8","age","120"
"Mar 9, 2017","16.1","59.8","16.1","0","0","age","120"
"Mar 10, 2017","0","52.5714285714286","39.4285714285714","0","0","age","120"
"Mar 11, 2017","11.3230769230769","58.0307692307692","11.3230769230769","0","11.3230769230769","age","120"
"Mar 12, 2017","17.8888888888889","56.2222222222222","0","0","17.8888888888889","age","120"
"Mar 13, 2017","12.5454545454545","39.7272727272727","27.1818181818182","0","12.5454545454545","age","120"
"Mar 14, 2017","0","32.2","59.8","0","0","age","120"
"Mar 15, 2017","0","35.1764705882353","18.9411764705882","0","37.8823529411765","age","120"
"Mar 16, 2017","15.3333333333333","30.6666666666667","15.3333333333333","0","30.6666666666667","age","120"
"Mar 17, 2017","0","55.2","18.4","0","18.4","age","120"
"Mar 18, 2017","0","40.6511627906977","17.1162790697674","0","34.2325581395349","age","120"
"Mar 19, 2017","22.2068965517241","47.5862068965517","0","0","22.2068965517241","age","120"
"Mar 20, 2017","0","26.2857142857143","34.1714285714286","0","31.5428571428571","age","120"
"Mar 21, 2017","21.2307692307692","46","24.7692307692308","0","0","age","120"
"Mar 22, 2017","17.8064516129032","17.8064516129032","17.8064516129032","0","38.5806451612903","age","120"
"Mar 23, 2017","0","0","54.1176470588235","0","37.8823529411765","age","120"
"Mar 24, 2017","26.2857142857143","26.2857142857143","39.4285714285714","0","0","age","120"
"Mar 25, 2017","12.2666666666667","0","49.0666666666667","0","30.6666666666667","age","120"
"Mar 26, 2017","0","38.1463414634146","0","0","53.8536585365854","age","120"
"Mar 27, 2017","14.6363636363636","20.9090909090909","41.8181818181818","0","14.6363636363636","age","120"
"Mar 28, 2017","18.9411764705882","54.1176470588235","18.9411764705882","0","0","age","120"
"Mar 29, 2017","0","35.1764705882353","18.9411764705882","0","37.8823529411765","age","120"
"Mar 30, 2017","0","46","0","0","46","age","120"
"Mar 31, 2017","0","51.75","0","0","40.25","age","120"
"Apr 1, 2017","23","46","0","0","23","age","120"
"Apr 2, 2017","26.2857142857143","39.4285714285714","0","0","26.2857142857143","age","120"
"Apr 3, 2017","14.6363636363636","14.6363636363636","20.9090909090909","0","41.8181818181818","age","120"
"Apr 4, 2017","11.2982456140351","27.4385964912281","20.9824561403509","0","32.280701754386","age","120"
"Apr 5, 2017","30.6666666666667","15.3333333333333","15.3333333333333","0","30.6666666666667","age","120"
"Apr 6, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Apr 7, 2017","17.8888888888889","38.3333333333333","17.8888888888889","0","17.8888888888889","age","120"
"Apr 8, 2017","16.8979591836735","33.7959183673469","16.8979591836735","0","24.4081632653061","age","120"
"Apr 9, 2017","10.35","14.95","31.05","0","35.65","age","120"
"Apr 10, 2017","24.7692307692308","17.6923076923077","12.3846153846154","0","37.1538461538462","age","120"
"Apr 11, 2017","11.7090909090909","45.1636363636364","23.4181818181818","0","11.7090909090909","age","120"
"Apr 12, 2017","0","28.1111111111111","17.8888888888889","0","46","age","120"
"Apr 13, 2017","14.9767441860465","14.9767441860465","14.9767441860465","0","47.0697674418605","age","120"
"Apr 14, 2017","30.6666666666667","0","0","0","61.3333333333333","age","120"
"Apr 15, 2017","0","39.4285714285714","0","0","52.5714285714286","age","120"
"Apr 16, 2017","18.8181818181818","35.5454545454545","0","0","37.6363636363636","age","120"
"Apr 17, 2017","11.5","11.5","17.25","0","51.75","age","120"
"Apr 18, 2017","0","36.8","18.4","0","36.8","age","120"
"Apr 19, 2017","18.4","18.4","18.4","0","36.8","age","120"
