date,hamon éducation,macron éducation,fillon éducation,le pen éducation,mélenchon éducation,query,time
"Apr 5, 2017","0","61.3333333333333","0","0","30.6666666666667","age","120"
"Apr 6, 2017","0","0","0","0","0","age","120"
"Apr 7, 2017","0","30.6666666666667","61.3333333333333","0","0","age","120"
"Apr 8, 2017","46","0","0","0","46","age","120"
"Apr 9, 2017","0","92","0","0","0","age","120"
"Apr 10, 2017","30.2784810126582","31.4430379746835","30.2784810126582","0","0","age","120"
"Apr 11, 2017","26","0","0","0","66","age","120"
"Apr 12, 2017","0","0","0","0","0","age","120"
"Apr 13, 2017","13.2102564102564","26.4205128205128","26.4205128205128","0","25.9487179487179","age","120"
"Apr 14, 2017","0","0","0","0","0","age","120"
"Apr 15, 2017","0","23.3538461538462","0","0","68.6461538461539","age","120"
"Apr 16, 2017","0","92","0","0","0","age","120"
"Apr 17, 2017","0","61.3333333333333","30.6666666666667","0","0","age","120"
"Apr 18, 2017","0","0","0","0","92","age","120"
"Apr 19, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
