date,hamon programme,macron programme,fillon programme,le pen programme,mélenchon programme,query,time
"Dec 22, 2016","0","46","23","23","0","age","120"
"Dec 23, 2016","0","46","23","0","23","age","120"
"Dec 24, 2016","0","36.8","18.4","36.8","0","age","120"
"Dec 25, 2016","0","36.8","18.4","36.8","0","age","120"
"Dec 26, 2016","0","46","23","23","0","age","120"
"Dec 27, 2016","0","46","23","23","0","age","120"
"Dec 28, 2016","0","30.6666666666667","15.3333333333333","30.6666666666667","15.3333333333333","age","120"
"Dec 29, 2016","0","23","23","23","23","age","120"
"Dec 30, 2016","0","30.6666666666667","30.6666666666667","30.6666666666667","0","age","120"
"Dec 31, 2016","0","36.8","18.4","36.8","0","age","120"
"Jan 1, 2017","0","23","46","23","0","age","120"
"Jan 2, 2017","18.4","36.8","18.4","18.4","0","age","120"
"Jan 3, 2017","11.5","23","23","23","11.5","age","120"
"Jan 4, 2017","13.1428571428571","26.2857142857143","26.2857142857143","26.2857142857143","0","age","120"
"Jan 5, 2017","10.2222222222222","30.6666666666667","20.4444444444444","20.4444444444444","10.2222222222222","age","120"
"Jan 6, 2017","10.2222222222222","40.8888888888889","20.4444444444444","10.2222222222222","10.2222222222222","age","120"
"Jan 7, 2017","9.2","36.8","18.4","18.4","9.2","age","120"
"Jan 8, 2017","13.1428571428571","32.8571428571429","13.1428571428571","19.7142857142857","13.1428571428571","age","120"
"Jan 9, 2017","16.7272727272727","33.4545454545455","16.7272727272727","16.7272727272727","8.36363636363636","age","120"
"Jan 10, 2017","10.2222222222222","30.6666666666667","20.4444444444444","20.4444444444444","10.2222222222222","age","120"
"Jan 11, 2017","10.2222222222222","30.6666666666667","20.4444444444444","20.4444444444444","10.2222222222222","age","120"
"Jan 12, 2017","16.7272727272727","33.4545454545455","8.36363636363636","16.7272727272727","16.7272727272727","age","120"
"Jan 13, 2017","20.4444444444444","30.6666666666667","10.2222222222222","20.4444444444444","10.2222222222222","age","120"
"Jan 14, 2017","14.1538461538462","42.4615384615385","14.1538461538462","14.1538461538462","7.07692307692308","age","120"
"Jan 15, 2017","17.25","46","11.5","11.5","5.75","age","120"
