date,hamon retraite,macron retraite,fillon retraite,le pen retraite,mélenchon retraite,query,time
"Feb 1, 2017","3.28571428571429","46","29.5714285714286","9.85714285714286","3.28571428571429","age","120"
"Feb 2, 2017","7.07692307692308","38.9230769230769","21.2307692307692","17.6923076923077","7.07692307692308","age","120"
"Feb 3, 2017","9.51724137931035","31.7241379310345","28.551724137931","15.8620689655172","6.3448275862069","age","120"
"Feb 4, 2017","6.57142857142857","50.3809523809524","10.952380952381","24.0952380952381","0","age","120"
"Feb 5, 2017","11.219512195122","40.390243902439","15.7073170731707","22.4390243902439","2.24390243902439","age","120"
"Feb 6, 2017","11.7948717948718","25.9487179487179","30.6666666666667","11.7948717948718","11.7948717948718","age","120"
"Feb 7, 2017","3.83333333333333","26.8333333333333","34.5","19.1666666666667","7.66666666666667","age","120"
"Feb 8, 2017","11.5","23","34.5","11.5","11.5","age","120"
"Feb 9, 2017","11.04","40.48","25.76","11.04","3.68","age","120"
"Feb 10, 2017","17.25","23","28.75","23","0","age","120"
"Feb 11, 2017","11.04","33.12","18.4","29.44","0","age","120"
"Feb 12, 2017","7.66666666666667","30.6666666666667","26.8333333333333","15.3333333333333","11.5","age","120"
"Feb 13, 2017","16","32","28","12","4","age","120"
"Feb 14, 2017","8.36363636363636","25.0909090909091","29.2727272727273","25.0909090909091","4.18181818181818","age","120"
"Feb 15, 2017","13.8","18.4","32.2","23","4.6","age","120"
"Feb 16, 2017","24.2105263157895","19.3684210526316","29.0526315789474","9.68421052631579","9.68421052631579","age","120"
"Feb 17, 2017","5.75","23","28.75","28.75","5.75","age","120"
"Feb 18, 2017","9.68421052631579","33.8947368421053","14.5263157894737","19.3684210526316","14.5263157894737","age","120"
"Feb 19, 2017","9.68421052631579","24.2105263157895","14.5263157894737","24.2105263157895","19.3684210526316","age","120"
"Feb 20, 2017","10.2222222222222","25.5555555555556","25.5555555555556","15.3333333333333","15.3333333333333","age","120"
"Feb 21, 2017","9.68421052631579","14.5263157894737","38.7368421052632","24.2105263157895","4.84210526315789","age","120"
"Feb 22, 2017","10.2222222222222","34.0740740740741","23.8518518518519","13.6296296296296","10.2222222222222","age","120"
"Feb 23, 2017","6.13333333333333","36.8","12.2666666666667","18.4","18.4","age","120"
"Feb 24, 2017","12.3582089552239","48.0597014925373","15.1044776119403","9.61194029850746","6.86567164179104","age","120"
