date,hamon économique,macron économique,fillon économique,le pen économique,mélenchon économique,query,time
"Mar 23, 2017","0","26.2857142857143","26.2857142857143","0","39.4285714285714","age","120"
"Mar 24, 2017","0","26.2857142857143","39.4285714285714","0","26.2857142857143","age","120"
"Mar 25, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Mar 26, 2017","0","57.5","34.5","0","0","age","120"
"Mar 27, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Mar 28, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Mar 29, 2017","0","34.5","34.5","0","23","age","120"
"Mar 30, 2017","0","40.8888888888889","20.4444444444444","0","30.6666666666667","age","120"
"Mar 31, 2017","0","34.5","23","0","34.5","age","120"
"Apr 1, 2017","0","23","46","0","23","age","120"
"Apr 2, 2017","0","30.6666666666667","20.4444444444444","0","40.8888888888889","age","120"
"Apr 3, 2017","0","23","34.5","0","34.5","age","120"
"Apr 4, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Apr 5, 2017","0","92","0","0","0","age","120"
"Apr 6, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Apr 7, 2017","0","32.8571428571429","13.1428571428571","0","46","age","120"
"Apr 8, 2017","0","30.6666666666667","0","0","61.3333333333333","age","120"
"Apr 9, 2017","0","26.2857142857143","26.2857142857143","0","39.4285714285714","age","120"
"Apr 10, 2017","0","51.1111111111111","20.4444444444444","0","20.4444444444444","age","120"
"Apr 11, 2017","0","33.4545454545455","16.7272727272727","0","41.8181818181818","age","120"
"Apr 12, 2017","0","21.9047619047619","8.76190476190476","0","61.3333333333333","age","120"
"Apr 13, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Apr 14, 2017","0","20.4444444444444","20.4444444444444","0","51.1111111111111","age","120"
"Apr 15, 2017","0","34.5","34.5","0","23","age","120"
"Apr 16, 2017","0","33.4545454545455","33.4545454545455","0","25.0909090909091","age","120"
"Apr 17, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Apr 18, 2017","0","41.8181818181818","16.7272727272727","0","33.4545454545455","age","120"
"Apr 19, 2017","0","27.0588235294118","27.0588235294118","0","37.8823529411765","age","120"
