date,hamon immigration,macron immigration,fillon immigration,le pen immigration,mélenchon immigration,query,time
"Dec 22, 2016","0","46","0","0","46","age","120"
"Dec 23, 2016","0","23","23","46","0","age","120"
"Dec 24, 2016","0","0","92","0","0","age","120"
"Dec 25, 2016","0","30.6666666666667","0","61.3333333333333","0","age","120"
"Dec 26, 2016","0","46","0","0","46","age","120"
"Dec 27, 2016","0","0","0","92","0","age","120"
"Dec 28, 2016","0","39.4285714285714","26.2857142857143","26.2857142857143","0","age","120"
"Dec 29, 2016","0","92","0","0","0","age","120"
"Dec 30, 2016","0","0","0","0","92","age","120"
"Dec 31, 2016","0","0","0","0","0","age","120"
"Jan 1, 2017","0","0","0","0","0","age","120"
"Jan 2, 2017","0","92","0","0","0","age","120"
"Jan 3, 2017","0","0","0","0","0","age","120"
"Jan 4, 2017","0","0","92","0","0","age","120"
"Jan 5, 2017","0","92","0","0","0","age","120"
"Jan 6, 2017","0","46","46","0","0","age","120"
"Jan 7, 2017","20.4444444444444","30.6666666666667","0","20.4444444444444","20.4444444444444","age","120"
"Jan 8, 2017","0","46","0","46","0","age","120"
"Jan 9, 2017","0","0","0","0","92","age","120"
"Jan 10, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Jan 11, 2017","0","39.4285714285714","26.2857142857143","26.2857142857143","0","age","120"
"Jan 12, 2017","0","0","75.2727272727273","0","16.7272727272727","age","120"
"Jan 13, 2017","0","0","92","0","0","age","120"
"Jan 14, 2017","0","23","23","0","46","age","120"
"Jan 15, 2017","0","23","23","23","23","age","120"
"Jan 16, 2017","0","46","46","0","0","age","120"
"Jan 17, 2017","26.2857142857143","39.4285714285714","26.2857142857143","0","0","age","120"
"Jan 18, 2017","0","46","46","0","0","age","120"
"Jan 19, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Jan 20, 2017","0","25.0909090909091","33.4545454545455","33.4545454545455","0","age","120"
