date,hamon blog,macron blog,fillon blog,le pen blog,mélenchon blog,query,time
"Dec 22, 2016","0","0","12.7384615384615","28.3076923076923","50.9538461538462","age","120"
"Dec 23, 2016","0","0","10.5747126436782","25.3793103448276","56.0459770114943","age","120"
"Dec 24, 2016","0","0","0","29.2235294117647","62.7764705882353","age","120"
"Dec 25, 2016","0","0","23.7113402061856","28.4536082474227","39.8350515463918","age","120"
"Dec 26, 2016","0","0","16.9473684210526","29.0526315789474","46","age","120"
"Dec 27, 2016","0","0","0","31.4146341463415","60.5853658536585","age","120"
"Dec 28, 2016","0","0","14.9767441860465","14.9767441860465","62.046511627907","age","120"
"Dec 29, 2016","0","0","12.1052631578947","35.1052631578947","44.7894736842105","age","120"
"Dec 30, 2016","0","0","10.5747126436782","40.183908045977","41.2413793103448","age","120"
"Dec 31, 2016","0","0","16.4776119402985","24.7164179104478","50.8059701492537","age","120"
"Jan 1, 2017","0","0","16.0634920634921","23.3650793650794","52.5714285714286","age","120"
"Jan 2, 2017","0","0","19.7142857142857","26.2857142857143","46","age","120"
"Jan 3, 2017","0","0","0","34.0740740740741","57.9259259259259","age","120"
"Jan 4, 2017","0","0","10.6666666666667","32","49.3333333333333","age","120"
"Jan 5, 2017","0","0","12.1764705882353","46","33.8235294117647","age","120"
"Jan 6, 2017","0","0","15.0545454545455","15.0545454545455","61.8909090909091","age","120"
"Jan 7, 2017","0","0","0","20.9090909090909","71.0909090909091","age","120"
"Jan 8, 2017","0","0","10.6976744186047","29.953488372093","51.3488372093023","age","120"
"Jan 9, 2017","0","0","16.1621621621622","32.3243243243243","43.5135135135135","age","120"
"Jan 10, 2017","0","0","10.0821917808219","45.3698630136986","36.5479452054795","age","120"
"Jan 11, 2017","0","0","11.5","33.0625","47.4375","age","120"
"Jan 12, 2017","0","0","0","35.6129032258064","56.3870967741936","age","120"
"Jan 13, 2017","0","0","10.8947368421053","14.5263157894737","66.5789473684211","age","120"
"Jan 14, 2017","0","0","14.1538461538462","33.9692307692308","43.8769230769231","age","120"
"Jan 15, 2017","0","0","0","22.1481481481481","69.8518518518519","age","120"
"Jan 16, 2017","0","0","0","44.4137931034483","47.5862068965517","age","120"
"Jan 17, 2017","0","0","0","43.4909090909091","48.5090909090909","age","120"
"Jan 18, 2017","0","0","12.0655737704918","30.1639344262295","49.7704918032787","age","120"
"Jan 19, 2017","0","0","13.8","18.4","59.8","age","120"
"Jan 20, 2017","0","0","0","22.1481481481481","69.8518518518519","age","120"
"Jan 21, 2017","0","0","16.4285714285714","27.3809523809524","48.1904761904762","age","120"
"Jan 22, 2017","0","0","0","26.4657534246575","65.5342465753425","age","120"
"Jan 23, 2017","0","0","11.3230769230769","33.9692307692308","46.7076923076923","age","120"
"Jan 24, 2017","0","0","9.43589743589744","30.6666666666667","51.8974358974359","age","120"
"Jan 25, 2017","0","0","27.2967032967033","18.1978021978022","46.5054945054945","age","120"
"Jan 26, 2017","0","0","31.9183673469388","11.265306122449","48.8163265306123","age","120"
"Jan 27, 2017","0","0","23.4339622641509","32.1132075471698","36.4528301886793","age","120"
