date,hamon TOTAL,macron TOTAL,fillon TOTAL,le pen TOTAL,mélenchon TOTAL,query,time
"Dec 22, 2016","1.37361111111111","25.561452991453","12.7136431623932","31.3230468142968","21.0282459207459","age","120"
"Dec 23, 2016","2.10717510889466","23.468447566516","18.1978035077208","36.4388398705231","11.7877339463455","age","120"
"Dec 24, 2016","9.5967365967366","19.4694687257187","17.4340714840715","33.0866258741259","12.4130973193473","age","120"
"Dec 25, 2016","4.24898279025939","23.0819316459742","11.01116682372","43.0380068001344","10.6199119399119","age","120"
"Dec 26, 2016","2.18956292127024","15.5222613339687","15.3486146103219","28.139945303116","7.79961583132314","age","120"
"Dec 27, 2016","2.46751865501866","15.5972906684114","12.0039795029019","43.2166690453328","11.0478754616686","age","120"
"Dec 28, 2016","9.05625","19.0131259018759","14.1928751803752","40.18636002886","9.55138888888888","age","120"
"Dec 29, 2016","3.0359231411863","22.4161445279866","16.8085421888054","34.7460421888054","14.9933479532164","age","120"
"Dec 30, 2016","4.25084430935495","17.7852222271888","10.9386419284026","35.9218676122931","23.1034239227606","age","120"
"Dec 31, 2016","0","11.7878529587148","11.1441915383092","36.4293413988352","17.3052807708074","age","120"
"Jan 1, 2017","5.79342471871167","15.3589231278551","14.0737354245543","29.7841189854068","11.6564644101388","age","120"
"Jan 2, 2017","8.12644824311491","26.594539044539","15.4222186472186","24.7272917606251","17.1295023045023","age","120"
"Jan 3, 2017","6.34337413058551","12.3896954262489","19.0449427883002","39.8049794390669","6.75034154913187","age","120"
"Jan 4, 2017","7.22131427283557","15.584526951307","24.9815737789369","36.5003019227713","7.7122830741492","age","120"
"Jan 5, 2017","6.37195637514264","27.313195092852","17.8927157900197","30.3306709720925","10.0914617698931","age","120"
"Jan 6, 2017","9.73397256906028","28.74842474053","19.7574960047767","20.6379590116432","13.1221476739898","age","120"
"Jan 7, 2017","6.87507983025567","22.1298857343236","14.6678078555668","35.8745043654423","12.4527222144116","age","120"
"Jan 8, 2017","9.75093795093794","25.2448384948385","11.4604229104229","33.6057831057831","11.9380175380175","age","120"
"Jan 9, 2017","8.82226162401601","14.8001723422776","17.6304294795523","16.6971532690831","34.049983285071","age","120"
"Jan 10, 2017","4.2120584344849","26.0863970588235","13.583547307812","34.1031551509493","14.0148420479303","age","120"
"Jan 11, 2017","7.24520713722841","26.5594589481068","18.5460436045332","29.4679913834869","10.1812989266447","age","120"
"Jan 12, 2017","6.87973675193044","22.4010922486931","17.3701018499991","20.4547589368866","24.8943102124907","age","120"
"Jan 13, 2017","12.622385022385","18.5411405926667","18.9122124063301","29.3913338162228","12.5329281623954","age","120"
"Jan 14, 2017","7.69201124153245","22.3387690912876","13.8403327202774","31.8833727211823","16.2455142257202","age","120"
"Jan 15, 2017","6.12208359489432","32.7152944774414","12.3815380188968","18.239430923753","22.5416529850146","age","120"
"Jan 16, 2017","9.21275634298472","27.9949649257416","18.2227717961944","22.5037688826149","14.0657380524644","age","120"
"Jan 17, 2017","10.0343870646127","33.7589727450377","17.4958471886022","19.9947794868841","10.7160135148634","age","120"
