date,hamon santé,macron santé,fillon santé,le pen santé,mélenchon santé,query,time
"Dec 22, 2016","5.75","5.75","5.75","74.75","0","age","120"
"Dec 23, 2016","0","5.41176470588235","5.41176470588235","81.1764705882353","0","age","120"
"Dec 24, 2016","92","0","0","0","0","age","120"
"Dec 25, 2016","0","4.6","4.6","82.8","0","age","120"
"Dec 26, 2016","0","0","0","0","0","age","120"
"Dec 27, 2016","0","0","6.57142857142857","85.4285714285714","0","age","120"
"Dec 28, 2016","92","0","0","0","0","age","120"
"Dec 29, 2016","0","30.6666666666667","30.6666666666667","30.6666666666667","0","age","120"
"Dec 30, 2016","30.6666666666667","30.6666666666667","0","30.6666666666667","0","age","120"
"Dec 31, 2016","0","0","0","0","0","age","120"
"Jan 1, 2017","0","0","0","0","0","age","120"
"Jan 2, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Jan 3, 2017","5.75","0","5.75","74.75","5.75","age","120"
"Jan 4, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Jan 5, 2017","5.75","5.75","5.75","74.75","0","age","120"
"Jan 6, 2017","0","30.6666666666667","30.6666666666667","30.6666666666667","0","age","120"
"Jan 7, 2017","0","8.90322580645161","2.96774193548387","80.1290322580645","0","age","120"
"Jan 8, 2017","46","23","23","0","0","age","120"
"Jan 9, 2017","7.07692307692308","7.07692307692308","0","0","77.8461538461538","age","120"
"Jan 10, 2017","0","46","46","0","0","age","120"
"Jan 11, 2017","0","46","46","0","0","age","120"
"Jan 12, 2017","6.57142857142857","6.57142857142857","0","0","78.8571428571428","age","120"
"Jan 13, 2017","46","46","0","0","0","age","120"
"Jan 14, 2017","0","6.13333333333333","6.13333333333333","79.7333333333333","0","age","120"
"Jan 15, 2017","10.2222222222222","5.11111111111111","5.11111111111111","0","71.5555555555556","age","120"
"Jan 16, 2017","23","23","23","23","0","age","120"
"Jan 17, 2017","23","46","23","0","0","age","120"
"Jan 18, 2017","0","5.41176470588235","10.8235294117647","5.41176470588235","70.3529411764706","age","120"
"Jan 19, 2017","23","23","23","23","0","age","120"
"Jan 20, 2017","46","46","0","0","0","age","120"
"Jan 21, 2017","15.3333333333333","15.3333333333333","30.6666666666667","30.6666666666667","0","age","120"
"Jan 22, 2017","36.8","18.4","18.4","0","18.4","age","120"
"Jan 23, 2017","8","8","4","72","0","age","120"
"Jan 24, 2017","23","23","23","0","23","age","120"
"Jan 25, 2017","7.07692307692308","3.53846153846154","3.53846153846154","38.9230769230769","38.9230769230769","age","120"
"Jan 26, 2017","10.2222222222222","5.11111111111111","5.11111111111111","66.4444444444444","5.11111111111111","age","120"
"Jan 27, 2017","5.75","5.75","5.75","74.75","0","age","120"
"Jan 28, 2017","5.75","2.875","2.875","40.25","40.25","age","120"
"Jan 29, 2017","13.8","4.6","4.6","64.4","4.6","age","120"
"Jan 30, 2017","23","23","23","0","23","age","120"
"Jan 31, 2017","5.75","11.5","5.75","69","0","age","120"
"Feb 1, 2017","6.57142857142857","6.57142857142857","6.57142857142857","72.2857142857143","0","age","120"
"Feb 2, 2017","3.06666666666667","3.06666666666667","6.13333333333333","39.8666666666667","39.8666666666667","age","120"
"Feb 3, 2017","6.13333333333333","6.13333333333333","6.13333333333333","73.6","0","age","120"
"Feb 4, 2017","0","5.93548387096774","2.96774193548387","83.0967741935484","0","age","120"
"Feb 5, 2017","3.06666666666667","6.13333333333333","3.06666666666667","39.8666666666667","39.8666666666667","age","120"
"Feb 6, 2017","5.75","5.75","5.75","69","5.75","age","120"
"Feb 7, 2017","5.75","5.75","5.75","69","5.75","age","120"
"Feb 8, 2017","0","6.13333333333333","6.13333333333333","0","79.7333333333333","age","120"
"Feb 9, 2017","0","6.13333333333333","6.13333333333333","79.7333333333333","0","age","120"
"Feb 10, 2017","5.75","5.75","5.75","5.75","69","age","120"
"Feb 11, 2017","0","23","23","23","23","age","120"
"Feb 12, 2017","5.75","5.75","0","80.5","0","age","120"
"Feb 13, 2017","5.75","5.75","5.75","74.75","0","age","120"
"Feb 14, 2017","5.75","5.75","5.75","74.75","0","age","120"
"Feb 15, 2017","15.3333333333333","15.3333333333333","30.6666666666667","15.3333333333333","15.3333333333333","age","120"
"Feb 16, 2017","6.13333333333333","6.13333333333333","6.13333333333333","73.6","0","age","120"
"Feb 17, 2017","23","46","23","0","0","age","120"
"Feb 18, 2017","0","46","0","46","0","age","120"
"Feb 19, 2017","2.96774193548387","0","2.96774193548387","86.0645161290323","0","age","120"
"Feb 20, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Feb 21, 2017","0.522727272727273","2.09090909090909","52.2727272727273","30.3181818181818","6.79545454545455","age","120"
"Feb 22, 2017","1.91666666666667","1.91666666666667","15.3333333333333","47.9166666666667","24.9166666666667","age","120"
"Feb 23, 2017","5.75","5.75","5.75","69","5.75","age","120"
"Feb 24, 2017","5.41176470588235","10.8235294117647","5.41176470588235","70.3529411764706","0","age","120"
"Feb 25, 2017","5.11111111111111","5.11111111111111","5.11111111111111","76.6666666666667","0","age","120"
"Feb 26, 2017","4.6","9.2","9.2","64.4","4.6","age","120"
"Feb 27, 2017","0","7.07692307692308","0","84.9230769230769","0","age","120"
"Feb 28, 2017","5.11111111111111","10.2222222222222","5.11111111111111","66.4444444444444","5.11111111111111","age","120"
"Mar 1, 2017","15.3333333333333","30.6666666666667","30.6666666666667","15.3333333333333","0","age","120"
"Mar 2, 2017","11.5","46","11.5","11.5","11.5","age","120"
"Mar 3, 2017","0","10.8235294117647","10.8235294117647","70.3529411764706","0","age","120"
"Mar 4, 2017","0","5.41176470588235","10.8235294117647","70.3529411764706","5.41176470588235","age","120"
"Mar 5, 2017","0","23","69","0","0","age","120"
"Mar 6, 2017","5.41176470588235","10.8235294117647","5.41176470588235","64.9411764705882","5.41176470588235","age","120"
"Mar 7, 2017","4.84210526315789","14.5263157894737","9.68421052631579","58.1052631578947","4.84210526315789","age","120"
"Mar 8, 2017","6.57142857142857","6.57142857142857","3.28571428571429","39.4285714285714","36.1428571428571","age","120"
"Mar 9, 2017","13.1428571428571","46","6.57142857142857","19.7142857142857","6.57142857142857","age","120"
"Mar 10, 2017","18.4","36.8","18.4","18.4","0","age","120"
"Mar 11, 2017","0","5.11111111111111","5.11111111111111","81.7777777777778","0","age","120"
"Mar 12, 2017","4.6","9.2","9.2","69","0","age","120"
"Mar 13, 2017","3.40740740740741","6.81481481481481","3.40740740740741","78.3703703703704","0","age","120"
"Mar 14, 2017","2.24390243902439","2.24390243902439","4.48780487804878","56.0975609756098","26.9268292682927","age","120"
"Mar 15, 2017","0","0","46","23","23","age","120"
"Mar 16, 2017","18.4","18.4","18.4","18.4","18.4","age","120"
"Mar 17, 2017","23","23","23","23","0","age","120"
"Mar 18, 2017","36.8","18.4","18.4","0","18.4","age","120"
"Mar 19, 2017","1.55932203389831","3.11864406779661","1.55932203389831","42.1016949152542","43.6610169491525","age","120"
"Mar 20, 2017","4.18181818181818","4.18181818181818","4.18181818181818","75.2727272727273","4.18181818181818","age","120"
"Mar 21, 2017","5.25714285714286","5.25714285714286","2.62857142857143","31.5428571428571","47.3142857142857","age","120"
"Mar 22, 2017","0","2.35897435897436","2.35897435897436","56.6153846153846","30.6666666666667","age","120"
"Mar 23, 2017","3.17241379310345","6.3448275862069","3.17241379310345","76.1379310344828","3.17241379310345","age","120"
"Mar 24, 2017","0.85981308411215","0.85981308411215","9.45794392523364","79.9626168224299","0.85981308411215","age","120"
"Mar 25, 2017","0.938775510204082","1.87755102040816","15.0204081632653","73.2244897959184","0.938775510204082","age","120"
"Mar 26, 2017","0","61.3333333333333","30.6666666666667","0","0","age","120"
"Mar 27, 2017","6.13333333333333","6.13333333333333","0","73.6","6.13333333333333","age","120"
"Mar 28, 2017","0","5.11111111111111","15.3333333333333","66.4444444444444","5.11111111111111","age","120"
"Mar 29, 2017","4.27906976744186","6.41860465116279","2.13953488372093","79.1627906976744","0","age","120"
"Mar 30, 2017","13.1428571428571","26.2857142857143","26.2857142857143","13.1428571428571","13.1428571428571","age","120"
"Mar 31, 2017","4.84210526315789","9.68421052631579","9.68421052631579","62.9473684210526","4.84210526315789","age","120"
"Apr 1, 2017","5.11111111111111","5.11111111111111","5.11111111111111","76.6666666666667","0","age","120"
"Apr 2, 2017","0","9.68421052631579","4.84210526315789","72.6315789473684","4.84210526315789","age","120"
"Apr 3, 2017","5.41176470588235","10.8235294117647","5.41176470588235","64.9411764705882","5.41176470588235","age","120"
"Apr 4, 2017","3.83333333333333","3.83333333333333","3.83333333333333","76.6666666666667","3.83333333333333","age","120"
"Apr 5, 2017","18.4","18.4","18.4","18.4","18.4","age","120"
"Apr 6, 2017","15.3333333333333","30.6666666666667","15.3333333333333","15.3333333333333","15.3333333333333","age","120"
"Apr 7, 2017","2.875","5.75","2.875","40.25","40.25","age","120"
"Apr 8, 2017","4.18181818181818","4.18181818181818","12.5454545454545","0","71.0909090909091","age","120"
"Apr 9, 2017","0","2.42105263157895","2.42105263157895","4.84210526315789","82.3157894736842","age","120"
