date,hamon écologie,macron écologie,fillon écologie,le pen écologie,mélenchon écologie,query,time
"Apr 9, 2017","0","0","61.3333333333333","0","30.6666666666667","age","120"
"Apr 10, 2017","30.6666666666667","30.6666666666667","0","0","30.6666666666667","age","120"
"Apr 11, 2017","23","23","23","0","23","age","120"
"Apr 12, 2017","0","92","0","0","0","age","120"
"Apr 13, 2017","0","45.2698412698413","0","0","46.7301587301587","age","120"
"Apr 14, 2017","46","0","46","0","0","age","120"
"Apr 15, 2017","0","55.3978494623656","0","0","36.6021505376344","age","120"
"Apr 16, 2017","0","23","23","0","46","age","120"
"Apr 17, 2017","18.0898876404494","18.6067415730337","18.6067415730337","0","36.6966292134831","age","120"
"Apr 18, 2017","30.6666666666667","30.6666666666667","0","0","30.6666666666667","age","120"
"Apr 19, 2017","14.0816326530612","21.1224489795918","42.7142857142857","0","14.0816326530612","age","120"
