date,hamon justice,macron justice,fillon justice,le pen justice,mélenchon justice,query,time
"Mar 20, 2017","14.5263157894737","21.7894736842105","21.7894736842105","10.8947368421053","23","age","120"
"Mar 21, 2017","9.85714285714286","9.85714285714286","30.3928571428571","0","41.8928571428571","age","120"
"Mar 22, 2017","14.9189189189189","14.9189189189189","29.8378378378378","0","32.3243243243243","age","120"
"Mar 23, 2017","7.51020408163265","15.6462585034014","19.4013605442177","0","49.4421768707483","age","120"
"Mar 24, 2017","22.5660377358491","15.0440251572327","7.52201257861635","7.52201257861635","39.3459119496855","age","120"
"Mar 25, 2017","0","46","46","0","0","age","120"
"Mar 26, 2017","0","36.8","18.4","18.4","18.4","age","120"
"Mar 27, 2017","0","37.375","54.625","0","0","age","120"
"Mar 28, 2017","16.4776119402985","16.4776119402985","42.5671641791045","16.4776119402985","0","age","120"
"Mar 29, 2017","0","18.4","35.3846153846154","0","38.2153846153846","age","120"
"Mar 30, 2017","0","92","0","0","0","age","120"
"Mar 31, 2017","0","30.6666666666667","61.3333333333333","0","0","age","120"
"Apr 1, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Apr 2, 2017","46","0","46","0","0","age","120"
"Apr 3, 2017","0","25.8426966292135","25.8426966292135","12.4044943820225","27.9101123595506","age","120"
"Apr 4, 2017","0","46","0","0","46","age","120"
"Apr 5, 2017","13","13","26","13","27","age","120"
"Apr 6, 2017","0","38.8444444444444","26.5777777777778","0","26.5777777777778","age","120"
"Apr 7, 2017","0","0","35.7777777777778","0","56.2222222222222","age","120"
"Apr 8, 2017","0","22.3428571428571","0","0","69.6571428571429","age","120"
"Apr 9, 2017","0","0","46","0","46","age","120"
"Apr 10, 2017","0","46","0","0","46","age","120"
"Apr 11, 2017","0","13.1428571428571","13.1428571428571","13.1428571428571","52.5714285714286","age","120"
"Apr 12, 2017","0","19.5744680851064","32.2978723404255","0","40.1276595744681","age","120"
"Apr 13, 2017","23","46","0","0","23","age","120"
"Apr 14, 2017","11.2982456140351","11.2982456140351","11.2982456140351","22.5964912280702","35.5087719298246","age","120"
"Apr 15, 2017","0","30.0408163265306","0","0","61.9591836734694","age","120"
"Apr 16, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Apr 17, 2017","0","60.9887640449438","31.0112359550562","0","0","age","120"
"Apr 18, 2017","0","16.9846153846154","18.4","0","56.6153846153846","age","120"
"Apr 19, 2017","0","26.8923076923077","0","17.6923076923077","47.4153846153846","age","120"
