date,hamon,macron,fillon,le pen,mélenchon,query,time
"Dec 22, 2016","3.83333333333333","15.3333333333333","11.5","53.6666666666667","7.66666666666667","nom","120"
"Dec 23, 2016","3.83333333333333","15.3333333333333","11.5","53.6666666666667","7.66666666666667","nom","120"
"Dec 24, 2016","4","16","8","56","8","nom","120"
"Dec 25, 2016","3.83333333333333","15.3333333333333","7.66666666666667","57.5","7.66666666666667","nom","120"
"Dec 26, 2016","4.84210526315789","9.68421052631579","9.68421052631579","58.1052631578947","9.68421052631579","nom","120"
"Dec 27, 2016","4","12","12","56","8","nom","120"
"Dec 28, 2016","4.18181818181818","12.5454545454545","8.36363636363636","58.5454545454545","8.36363636363636","nom","120"
"Dec 29, 2016","4.6","9.2","9.2","59.8","9.2","nom","120"
"Dec 30, 2016","4.6","9.2","9.2","59.8","9.2","nom","120"
"Dec 31, 2016","4","12","8","60","8","nom","120"
"Jan 1, 2017","4.18181818181818","16.7272727272727","8.36363636363636","54.3636363636364","8.36363636363636","nom","120"
"Jan 2, 2017","8.36363636363636","12.5454545454545","12.5454545454545","50.1818181818182","8.36363636363636","nom","120"
"Jan 3, 2017","6.81481481481481","10.2222222222222","13.6296296296296","54.5185185185185","6.81481481481481","nom","120"
"Jan 4, 2017","6.81481481481481","10.2222222222222","17.037037037037","51.1111111111111","6.81481481481481","nom","120"
"Jan 5, 2017","6.81481481481481","17.037037037037","13.6296296296296","47.7037037037037","6.81481481481481","nom","120"
"Jan 6, 2017","3.40740740740741","20.4444444444444","13.6296296296296","47.7037037037037","6.81481481481481","nom","120"
"Jan 7, 2017","6.81481481481481","23.8518518518519","10.2222222222222","44.2962962962963","6.81481481481481","nom","120"
"Jan 8, 2017","8.625","20.125","8.625","40.25","14.375","nom","120"
"Jan 9, 2017","6.13333333333333","15.3333333333333","12.2666666666667","39.8666666666667","18.4","nom","120"
"Jan 10, 2017","6.57142857142857","16.4285714285714","13.1428571428571","46","9.85714285714286","nom","120"
"Jan 11, 2017","5.93548387096774","20.7741935483871","11.8709677419355","44.5161290322581","8.90322580645161","nom","120"
"Jan 12, 2017","10.952380952381","13.1428571428571","10.952380952381","43.8095238095238","13.1428571428571","nom","120"
"Jan 13, 2017","9.94594594594595","14.9189189189189","7.45945945945946","49.7297297297297","9.94594594594595","nom","120"
"Jan 14, 2017","6.9","25.3","9.2","41.4","9.2","nom","120"
"Jan 15, 2017","13.4634146341463","24.6829268292683","6.73170731707317","35.9024390243902","11.219512195122","nom","120"
"Jan 16, 2017","6.27272727272727","20.9090909090909","6.27272727272727","50.1818181818182","8.36363636363636","nom","120"
"Jan 17, 2017","5.11111111111111","28.1111111111111","7.66666666666667","43.4444444444444","7.66666666666667","nom","120"
"Jan 18, 2017","8.11764705882353","21.6470588235294","8.11764705882353","46","8.11764705882353","nom","120"
"Jan 19, 2017","13.8","23","9.2","36.8","9.2","nom","120"
"Jan 20, 2017","13.9393939393939","19.5151515151515","8.36363636363636","41.8181818181818","8.36363636363636","nom","120"
"Jan 21, 2017","10.2222222222222","17.8888888888889","7.66666666666667","46","10.2222222222222","nom","120"
"Jan 22, 2017","50.6938775510204","13.1428571428571","4.69387755102041","17.8367346938775","5.63265306122449","nom","120"
"Jan 23, 2017","46","13.8","5.75","19.55","6.9","nom","120"
"Jan 24, 2017","28.3076923076923","15.9230769230769","14.1538461538462","26.5384615384615","7.07692307692308","nom","120"
"Jan 25, 2017","28.4536082474227","10.4329896907216","33.1958762886598","16.1237113402062","3.79381443298969","nom","120"
"Jan 26, 2017","22","10","38","17","5","nom","120"
"Jan 27, 2017","14.5263157894737","9.68421052631579","41.6421052631579","19.3684210526316","6.77894736842105","nom","120"
"Jan 28, 2017","12.2666666666667","11.2444444444444","40.8888888888889","21.4666666666667","6.13333333333333","nom","120"
"Jan 29, 2017","33.3422818791946","11.1140939597315","27.7852348993289","14.8187919463087","4.93959731543624","nom","120"
"Jan 30, 2017","26.2857142857143","13.1428571428571","25.5126050420168","17.0084033613445","10.0504201680672","nom","120"
"Jan 31, 2017","9.54716981132075","10.4150943396226","42.5283018867925","22.5660377358491","6.94339622641509","nom","120"
"Feb 1, 2017","5.36666666666667","15.3333333333333","46","19.9333333333333","5.36666666666667","nom","120"
"Feb 2, 2017","5.53383458646617","12.4511278195489","51.8796992481203","17.984962406015","4.15037593984962","nom","120"
"Feb 3, 2017","4.88495575221239","12.212389380531","49.6637168141593","19.5398230088496","5.69911504424779","nom","120"
"Feb 4, 2017","4.48780487804878","24.6829268292683","32.1626016260163","25.4308943089431","5.23577235772358","nom","120"
"Feb 5, 2017","7.56164383561644","14.4931506849315","25.2054794520548","28.986301369863","15.7534246575342","nom","120"
"Feb 6, 2017","3.83333333333333","9.58333333333333","53.6666666666667","17.8888888888889","7.02777777777778","nom","120"
"Feb 7, 2017","3.09243697478992","22.4201680672269","42.5210084033613","19.327731092437","4.63865546218487","nom","120"
"Feb 8, 2017","4.8936170212766","20.5531914893617","40.1276595744681","21.531914893617","4.8936170212766","nom","120"
"Feb 9, 2017","3.4392523364486","13.7570093457944","30.9532710280374","39.5514018691589","4.29906542056075","nom","120"
"Feb 10, 2017","3.50476190476191","11.3904761904762","25.4095238095238","47.3142857142857","4.38095238095238","nom","120"
"Feb 11, 2017","8.94444444444444","12.7777777777778","29.3888888888889","35.7777777777778","5.11111111111111","nom","120"
"Feb 12, 2017","6.49411764705882","14.0705882352941","29.2235294117647","34.6352941176471","7.57647058823529","nom","120"
